time_alpha,discovery_horizon_min,discovery_algo,discovery_model_id,discovery_tau,discovery_n,discovery_coverage,discovery_win_rate,discovery_baseline,discovery_directional_edge,test2018_n,test2018_coverage,test2018_win_rate,test2018_baseline,test2018_directional_edge,test2018_n_long,test2018_long_win_rate,test2018_n_short,test2018_short_win_rate,test2018_tie_rate
0,7,DeepLearning,DeepLearning_grid_3_AutoML_5_20260923_183457_model_1,0.025,1359,0.338059701492537,0.502575423105224,0.479764532744665,0.0228108903605592,11225,0.548926597877647,0.512427616926503,0.483207126948775,0.0292204899777282,6006,0.505328005328005,5219,0.520597815673501,0.023162583518931
0.25,7,DeepLearning,DeepLearning_grid_3_AutoML_5_20260923_183457_model_1,0.025,1359,0.338059701492537,0.502575423105224,0.479764532744665,0.0228108903605592,11225,0.548926597877647,0.512427616926503,0.483207126948775,0.0292204899777282,6006,0.505328005328005,5219,0.520597815673501,0.023162583518931
0.5,7,DeepLearning,DeepLearning_grid_3_AutoML_5_20260923_183457_model_1,0.025,1359,0.338059701492537,0.502575423105224,0.479764532744665,0.0228108903605592,11225,0.548926597877647,0.512427616926503,0.483207126948775,0.0292204899777282,6006,0.505328005328005,5219,0.520597815673501,0.023162583518931
