year,horizon_min,model,tau,n,wins,base_wins_selected,coverage,win_rate,selected_baseline_win_rate,full_n,full_model_wins,full_base_wins,full_model_win_rate,full_baseline_win_rate,selection_gain_vs_full_baseline,selected_directional_edge,n_long,long_wins,long_win_rate,n_short,short_wins,short_win_rate,mean_p_up,mean_confidence
2017,1,Full,0,7576,3985,3859,1,0.526003167898627,0.509371700105597,7576,3985,3859,0.526003167898627,0.509371700105597,0.0166314677930306,0.0166314677930306,4542,2405,0.529502421840599,3034,1580,0.520764667106131,0.505681359532231,0.0193240282838193
2017,1,Full,0.025,1951,1082,1062,0.257523759239704,0.554587391081497,0.544336237826756,7576,3985,3859,0.526003167898627,0.509371700105597,0.0452156909759001,0.0102511532547411,1317,755,0.57327258921792,634,327,0.515772870662461,0.516128295552511,0.044669893564328
2017,1,Full,0.05,547,312,310,0.0722016895459345,0.570383912248629,0.56672760511883,7576,3985,3859,0.526003167898627,0.509371700105597,0.0610122121430322,0.00365630712979881,379,227,0.598944591029024,168,85,0.505952380952381,0.527254420518312,0.0713034574767804
2017,1,Full,0.075,178,107,104,0.0234952481520591,0.601123595505618,0.584269662921348,7576,3985,3859,0.526003167898627,0.509371700105597,0.0917518954000214,0.0168539325842697,127,80,0.62992125984252,51,27,0.529411764705882,0.53732306140556,0.0925177478225177
2017,1,Full,0.1,45,22,19,0.00593980992608237,0.488888888888889,0.422222222222222,7576,3985,3859,0.526003167898627,0.509371700105597,-0.0204828112167078,0.0666666666666667,30,13,0.433333333333333,15,9,0.6,0.534908631118275,0.117844797798191
2017,1,Full,0.15,5,2,1,0.000659978880675818,0.4,0.2,7576,3985,3859,0.526003167898627,0.509371700105597,-0.109371700105597,0.2,2,0,0,3,2,0.666666666666667,0.4734703342351,0.157874442569593
2018,1,Calendar-only,0,14777,7438,7308,1,0.503349800365433,0.494552344860256,14777,7438,7308,0.503349800365433,0.494552344860256,0.00879745550517697,0.00879745550517697,7981,3975,0.498057887482772,6796,3463,0.50956444967628,0.503853806725402,0.016469946445976
2018,1,Calendar-only,0.025,3085,1563,1553,0.208770386411315,0.506645056726094,0.503403565640195,14777,7438,7308,0.503349800365433,0.494552344860256,0.0120927118658383,0.00324149108589955,1995,1013,0.507769423558897,1090,550,0.504587155963303,0.51410401660769,0.0404144245669209
2018,1,Calendar-only,0.05,567,311,299,0.0383704405495026,0.548500881834215,0.527336860670194,14777,7438,7308,0.503349800365433,0.494552344860256,0.0539485369739594,0.0211640211640212,425,234,0.550588235294118,142,77,0.542253521126761,0.538838397637762,0.0687443403906923
2018,1,Calendar-only,0.075,185,98,98,0.0125194559112134,0.52972972972973,0.52972972972973,14777,7438,7308,0.503349800365433,0.494552344860256,0.035177384869474,0,185,98,0.52972972972973,0,0,,0.589958904501333,0.0899589045013327
2018,1,Calendar-only,0.1,50,28,28,0.00338363673276037,0.56,0.56,14777,7438,7308,0.503349800365433,0.494552344860256,0.0654476551397443,0,50,28,0.56,0,0,,0.600972719286679,0.100972719286679
2018,1,Market-state,0,14777,7732,7308,1,0.523245584354064,0.494552344860256,14777,7732,7308,0.523245584354064,0.494552344860256,0.028693239493808,0.028693239493808,8937,4600,0.514714109880273,5840,3132,0.536301369863014,0.504828642973619,0.0210750939255218
2018,1,Market-state,0.025,4039,2179,2020,0.273330175272383,0.539489972765536,0.500123793018074,14777,7732,7308,0.523245584354064,0.494552344860256,0.0449376279052802,0.0393661797474623,2508,1334,0.531897926634769,1531,845,0.551926845199216,0.510832279848404,0.0503706378333799
2018,1,Market-state,0.05,1412,786,689,0.0955539013331529,0.556657223796034,0.487960339943343,14777,7732,7308,0.523245584354064,0.494552344860256,0.0621048789357782,0.0686968838526912,851,457,0.537015276145711,561,329,0.586452762923351,0.513868145734655,0.0793155194146463
2018,1,Market-state,0.075,564,316,277,0.038167422345537,0.560283687943262,0.49113475177305,14777,7732,7308,0.523245584354064,0.494552344860256,0.0657313430830067,0.0691489361702128,329,179,0.544072948328267,235,137,0.582978723404255,0.513569646152301,0.107768598609997
2018,1,Market-state,0.1,231,128,115,0.0156324017053529,0.554112554112554,0.497835497835498,14777,7732,7308,0.523245584354064,0.494552344860256,0.0595602092522983,0.0562770562770563,124,68,0.548387096774194,107,60,0.560747663551402,0.505362863900996,0.140465405074507
2018,1,Market-state,0.15,69,43,32,0.00466941869120931,0.623188405797102,0.463768115942029,14777,7732,7308,0.523245584354064,0.494552344860256,0.128636060936846,0.159420289855072,26,16,0.615384615384615,43,27,0.627906976744186,0.459318237249962,0.184831366982277
2018,1,Full,0,14777,7589,7308,1,0.513568383298369,0.494552344860256,14777,7589,7308,0.513568383298369,0.494552344860256,0.0190160384381133,0.0190160384381133,7660,3890,0.507832898172324,7117,3699,0.519741464100042,0.499492136749588,0.0280903730903848
2018,1,Full,0.025,6077,3159,3030,0.411247208499695,0.519828862925786,0.498601283528057,14777,7589,7308,0.513568383298369,0.494552344860256,0.02527651806553,0.0212275793977292,2950,1531,0.518983050847458,3127,1628,0.520626798848737,0.497026764616102,0.0521713828025176
2018,1,Full,0.05,2421,1320,1189,0.163835690600257,0.545229244114003,0.491119372160264,14777,7589,7308,0.513568383298369,0.494552344860256,0.0506768992537467,0.0541098719537382,1094,591,0.540219378427788,1327,729,0.549359457422758,0.492322701616436,0.0775207355016168
2018,1,Full,0.075,940,512,445,0.063612370575895,0.54468085106383,0.473404255319149,14777,7589,7308,0.513568383298369,0.494552344860256,0.050128506203574,0.0712765957446809,409,213,0.52078239608802,531,299,0.563088512241055,0.487149591632225,0.103685020639677
2018,1,Full,0.1,376,208,173,0.025444948230358,0.553191489361702,0.460106382978723,14777,7589,7308,0.513568383298369,0.494552344860256,0.0586391445014464,0.0930851063829787,169,87,0.514792899408284,207,121,0.584541062801932,0.486840081341386,0.131498022257691
2018,1,Full,0.15,78,47,37,0.00527847330310618,0.602564102564103,0.474358974358974,14777,7589,7308,0.513568383298369,0.494552344860256,0.108011757703847,0.128205128205128,32,19,0.59375,46,28,0.608695652173913,0.469711508656829,0.186358067585178
2019,1,Calendar-only,0,16242,8168,8294,1,0.502893732298978,0.510651397611132,16242,8168,8294,0.502893732298978,0.510651397611132,-0.00775766531215372,-0.00775766531215372,8432,4326,0.513045540796964,7810,3842,0.491933418693982,0.501559195087061,0.0188051167605143
2019,1,Calendar-only,0.025,4481,2247,2264,0.275889668760005,0.501450569069404,0.505244365097077,16242,8168,8294,0.502893732298978,0.510651397611132,-0.00920082854172755,-0.00379379602767249,2442,1236,0.506142506142506,2039,1011,0.495831289847965,0.505703802056464,0.0389658236775426
2019,1,Calendar-only,0.05,721,360,379,0.0443910848417683,0.499306518723994,0.525658807212205,16242,8168,8294,0.502893732298978,0.510651397611132,-0.0113448788871372,-0.0263522884882108,462,240,0.51948051948052,259,120,0.463320463320463,0.521348147665382,0.0658365037793275
2019,1,Calendar-only,0.075,142,78,78,0.00874276566925256,0.549295774647887,0.549295774647887,16242,8168,8294,0.502893732298978,0.510651397611132,0.0386443770367557,0,142,78,0.549295774647887,0,0,,0.590512938518107,0.0905129385181066
2019,1,Market-state,0,16242,8506,8294,1,0.523703977342692,0.510651397611132,16242,8506,8294,0.523703977342692,0.510651397611132,0.0130525797315602,0.0130525797315602,10340,5449,0.526982591876209,5902,3057,0.517960013554727,0.504735741559341,0.0148532339258243
2019,1,Market-state,0.025,2666,1424,1353,0.164142347001601,0.534133533383346,0.507501875468867,16242,8506,8294,0.523703977342692,0.510651397611132,0.0234821357722141,0.0266316579144785,1757,934,0.531587933978372,909,490,0.539053905390539,0.513570698510705,0.0435516030425773
2019,1,Market-state,0.05,651,364,337,0.0400812707794607,0.559139784946237,0.517665130568356,16242,8506,8294,0.523703977342692,0.510651397611132,0.0484883873351049,0.0414746543778801,440,245,0.556818181818182,211,119,0.563981042654029,0.523192908748728,0.0722926857407203
2019,1,Market-state,0.075,190,96,106,0.0116980667405492,0.505263157894737,0.557894736842105,16242,8506,8294,0.523703977342692,0.510651397611132,-0.00538823971639479,-0.0526315789473684,120,66,0.55,70,30,0.428571428571429,0.523018480792913,0.101694076447043
2019,1,Market-state,0.1,63,31,35,0.00387883265607684,0.492063492063492,0.555555555555556,16242,8506,8294,0.523703977342692,0.510651397611132,-0.0185879055476396,-0.0634920634920635,31,17,0.548387096774194,32,14,0.4375,0.498116394935558,0.134282356073309
2019,1,Market-state,0.15,14,4,6,0.00086196281246152,0.285714285714286,0.428571428571429,16242,8506,8294,0.523703977342692,0.510651397611132,-0.224937111896846,-0.142857142857143,8,2,0.25,6,2,0.333333333333333,0.51600493896618,0.193704758093003
2019,1,Full,0,16242,8356,8294,1,0.51446866149489,0.510651397611132,16242,8356,8294,0.51446866149489,0.510651397611132,0.00381726388375814,0.00381726388375814,8886,4647,0.522957461174882,7356,3709,0.504214246873301,0.503661814706386,0.0200440168217815
2019,1,Full,0.025,4491,2408,2268,0.276505356483192,0.536183478067246,0.50501002004008,16242,8356,8294,0.51446866149489,0.510651397611132,0.025532080456114,0.0311734580271655,2839,1512,0.532581895033463,1652,896,0.542372881355932,0.511598525769457,0.0444617217903256
2019,1,Full,0.05,1163,643,595,0.0716044822066248,0.552880481513328,0.511607910576096,16242,8356,8294,0.51446866149489,0.510651397611132,0.0422290839021959,0.0412725709372312,721,398,0.552011095700416,442,245,0.554298642533937,0.516786394455049,0.0737694314697299
2019,1,Full,0.075,433,235,218,0.0266592784139884,0.542725173210162,0.503464203233256,16242,8356,8294,0.51446866149489,0.510651397611132,0.03207377559903,0.0392609699769053,256,138,0.5390625,177,97,0.548022598870056,0.517928828547727,0.0970364620312617
2019,1,Full,0.1,131,63,61,0.00806550917374708,0.480916030534351,0.465648854961832,16242,8356,8294,0.51446866149489,0.510651397611132,-0.0297353670767805,0.0152671755725191,83,38,0.457831325301205,48,25,0.520833333333333,0.529281234702715,0.123957823073223
2019,1,Full,0.15,17,9,10,0.00104666912941756,0.529411764705882,0.588235294117647,16242,8356,8294,0.51446866149489,0.510651397611132,0.0187603670947507,-0.0588235294117647,10,6,0.6,7,3,0.428571428571429,0.526460393974809,0.188668139022124
2020,1,Calendar-only,0,17500,8776,8801,1,0.501485714285714,0.502914285714286,17500,8776,8801,0.501485714285714,0.502914285714286,-0.00142857142857145,-0.00142857142857145,9263,4670,0.504156320846378,8237,4106,0.498482457205293,0.503458831180564,0.0193854397103249
2020,1,Calendar-only,0.025,5089,2607,2519,0.2908,0.512281391235999,0.494989192375712,17500,8776,8801,0.501485714285714,0.502914285714286,0.00936710552171349,0.0172921988602869,3143,1590,0.505886096086542,1946,1017,0.522610483042138,0.511770765648302,0.0401700388754433
2020,1,Calendar-only,0.05,767,416,415,0.0438285714285714,0.542372881355932,0.541069100391134,17500,8776,8801,0.501485714285714,0.502914285714286,0.0394585956416464,0.00130378096479788,576,320,0.555555555555556,191,96,0.50261780104712,0.53549959273044,0.0669961235634109
2020,1,Calendar-only,0.075,242,139,144,0.0138285714285714,0.574380165289256,0.59504132231405,17500,8776,8801,0.501485714285714,0.502914285714286,0.0714658795749704,-0.0206611570247934,195,118,0.605128205128205,47,21,0.446808510638298,0.552508986940178,0.0846071850235476
2020,1,Market-state,0,17500,8996,8801,1,0.514057142857143,0.502914285714286,17500,8996,8801,0.514057142857143,0.502914285714286,0.0111428571428571,0.0111428571428571,9881,5089,0.51502884323449,7619,3907,0.512796954980969,0.499995424422501,0.0247378225661818
2020,1,Market-state,0.025,5465,2846,2700,0.312285714285714,0.520768526989936,0.494053064958829,17500,8996,8801,0.514057142857143,0.502914285714286,0.0178542412756502,0.026715462031107,2711,1396,0.514939136849871,2754,1450,0.526506899055919,0.495142064377862,0.0560907496123585
2020,1,Market-state,0.05,2209,1157,1055,0.126228571428571,0.523766410140335,0.477591670439113,17500,8996,8801,0.514057142857143,0.502914285714286,0.0208521244260492,0.0461747397012223,967,485,0.501551189245088,1242,672,0.541062801932367,0.484467792646035,0.0872038929268306
2020,1,Market-state,0.075,1023,547,476,0.0584571428571429,0.534701857282502,0.465298142717498,17500,8996,8801,0.514057142857143,0.502914285714286,0.0317875715682167,0.0694037145650049,424,212,0.5,599,335,0.559265442404007,0.472560242715423,0.118405219621249
2020,1,Market-state,0.1,541,291,252,0.0309142857142857,0.537892791127542,0.465804066543438,17500,8996,8801,0.514057142857143,0.502914285714286,0.0349785054132559,0.0720887245841035,200,101,0.505,341,190,0.557184750733138,0.453399738891523,0.14762748999586
2020,1,Market-state,0.15,167,86,84,0.00954285714285714,0.51497005988024,0.502994011976048,17500,8996,8801,0.514057142857143,0.502914285714286,0.0120557741659537,0.0119760479041916,47,25,0.531914893617021,120,61,0.508333333333333,0.400766235733816,0.209909119321721
2020,1,Full,0,17500,8940,8801,1,0.510857142857143,0.502914285714286,17500,8940,8801,0.510857142857143,0.502914285714286,0.00794285714285714,0.00794285714285714,8331,4286,0.514464049933982,9169,4654,0.507579888755589,0.495951501100656,0.0283699052486476
2020,1,Full,0.025,6660,3492,3307,0.380571428571429,0.524324324324324,0.496546546546547,17500,8940,8801,0.510857142857143,0.502914285714286,0.0214100386100385,0.0277777777777777,2969,1554,0.523408555069047,3691,1938,0.525060959089678,0.489676448305038,0.0562229233953452
2020,1,Full,0.05,2692,1400,1303,0.153828571428571,0.520059435364042,0.484026745913819,17500,8940,8801,0.510857142857143,0.502914285714286,0.0171451496497559,0.0360326894502229,1071,541,0.505135387488329,1621,859,0.529919802590993,0.477006374614243,0.0872817745114681
2020,1,Full,0.075,1274,689,601,0.0728,0.540816326530612,0.471742543171115,17500,8940,8801,0.510857142857143,0.502914285714286,0.0379020408163265,0.0690737833594977,460,238,0.517391304347826,814,451,0.554054054054054,0.46140317910089,0.116893975778205
2020,1,Full,0.1,631,345,291,0.0360571428571429,0.54675118858954,0.461172741679873,17500,8940,8801,0.510857142857143,0.502914285714286,0.0438369028752547,0.0855784469096672,199,102,0.512562814070352,432,243,0.5625,0.438165754037583,0.147846805451247
2020,1,Full,0.15,208,117,102,0.0118857142857143,0.5625,0.490384615384615,17500,8940,8801,0.510857142857143,0.502914285714286,0.0595857142857143,0.0721153846153846,47,29,0.617021276595745,161,88,0.546583850931677,0.382341912925937,0.20561779228963
2021,1,Calendar-only,0,17948,8938,9100,1,0.497994205482505,0.507020280811232,17948,8938,9100,0.497994205482505,0.507020280811232,-0.0090260753287274,-0.0090260753287274,9666,4878,0.504655493482309,8282,4060,0.490219753682685,0.503217388298883,0.0191334246706599
2021,1,Calendar-only,0.025,5091,2518,2596,0.283652774682416,0.494598310744451,0.509919465723826,17948,8938,9100,0.497994205482505,0.507020280811232,-0.0124219700667814,-0.0153211549793754,3061,1542,0.50375694217576,2030,976,0.480788177339902,0.510154523806777,0.0398926131883993
2021,1,Calendar-only,0.05,801,418,434,0.0446289280142634,0.521847690387016,0.541822721598003,17948,8938,9100,0.497994205482505,0.507020280811232,0.0148274095757839,-0.0199750312109862,617,334,0.541329011345219,184,84,0.456521739130435,0.54065138022985,0.0671573622620926
2021,1,Calendar-only,0.075,199,108,108,0.0110875863605973,0.542713567839196,0.542713567839196,17948,8938,9100,0.497994205482505,0.507020280811232,0.0356932870279636,0,199,108,0.542713567839196,0,0,,0.586343814974234,0.0863438149742344
2021,1,Calendar-only,0.1,50,26,26,0.00278582571874304,0.52,0.52,17948,8938,9100,0.497994205482505,0.507020280811232,0.0129797191887676,0,50,26,0.52,0,0,,0.602981675377582,0.102981675377582
2021,1,Market-state,0,17948,9318,9100,1,0.519166480944952,0.507020280811232,17948,9318,9100,0.519166480944952,0.507020280811232,0.0121462001337197,0.0121462001337197,12566,6518,0.518701257361133,5382,2800,0.520252694165738,0.505816438084302,0.0141739870175147
2021,1,Market-state,0.025,2604,1383,1351,0.145085803432137,0.53110599078341,0.518817204301075,17948,9318,9100,0.519166480944952,0.507020280811232,0.0240857099721777,0.0122887864823349,1738,934,0.537399309551208,866,449,0.518475750577367,0.513698531607331,0.042112916611463
2021,1,Market-state,0.05,597,323,303,0.0332627590817918,0.541038525963149,0.507537688442211,17948,9318,9100,0.519166480944952,0.507020280811232,0.0340182451519167,0.033500837520938,381,205,0.538057742782152,216,118,0.546296296296296,0.519142551626791,0.0696186869977071
2021,1,Market-state,0.075,160,93,82,0.00891464229997771,0.58125,0.5125,17948,9318,9100,0.519166480944952,0.507020280811232,0.0742297191887676,0.0687500000000001,99,57,0.575757575757576,61,36,0.59016393442623,0.524699340654481,0.0968986938379736
2021,1,Market-state,0.1,50,32,31,0.00278582571874304,0.64,0.62,17948,9318,9100,0.519166480944952,0.507020280811232,0.132979719188768,0.02,31,22,0.709677419354839,19,10,0.526315789473684,0.534570985553249,0.120081900208194
2021,1,Market-state,0.15,4,3,3,0.000222866057499443,0.75,0.75,17948,9318,9100,0.519166480944952,0.507020280811232,0.242979719188768,0,4,3,0.75,0,0,,0.698521661156838,0.198521661156838
2021,1,Full,0,17948,9170,9100,1,0.510920436817473,0.507020280811232,17948,9170,9100,0.510920436817473,0.507020280811232,0.00390015600624027,0.00390015600624027,11186,5754,0.514392991239049,6762,3416,0.505175983436853,0.505683610402013,0.0172379199646449
2021,1,Full,0.025,3677,1919,1882,0.204869623356363,0.52189284742997,0.511830296437313,17948,9170,9100,0.510920436817473,0.507020280811232,0.0148725666187377,0.0100625509926571,2466,1295,0.525141930251419,1211,624,0.515276630883567,0.516444107220827,0.0459776003990466
2021,1,Full,0.05,1225,661,645,0.0682527301092044,0.539591836734694,0.526530612244898,17948,9170,9100,0.510920436817473,0.507020280811232,0.0325715559234615,0.013061224489796,865,473,0.546820809248555,360,188,0.522222222222222,0.528344202862469,0.0686807937368688
2021,1,Full,0.075,292,167,163,0.0162692221974593,0.571917808219178,0.558219178082192,17948,9170,9100,0.510920436817473,0.507020280811232,0.0648975274079456,0.0136986301369862,206,122,0.592233009708738,86,45,0.523255813953488,0.539632793981406,0.0945214578240777
2021,1,Full,0.1,73,40,43,0.00406730554936483,0.547945205479452,0.589041095890411,17948,9170,9100,0.510920436817473,0.507020280811232,0.0409249246682196,-0.041095890410959,50,30,0.6,23,10,0.434782608695652,0.549883109001555,0.122878564002901
2021,1,Full,0.15,9,6,6,0.000501448629373746,0.666666666666667,0.666666666666667,17948,9170,9100,0.510920436817473,0.507020280811232,0.159646385855434,0,9,6,0.666666666666667,0,0,,0.680287806177899,0.180287806177899
2022,1,Calendar-only,0,18752,9295,9255,1,0.495680460750853,0.493547354948806,18752,9295,9255,0.495680460750853,0.493547354948806,0.00213310580204779,0.00213310580204779,10132,4965,0.49003158310304,8620,4330,0.502320185614849,0.503777908501905,0.0185534921368376
2022,1,Calendar-only,0.025,5071,2566,2559,0.270424488054608,0.506014592782489,0.504634194438967,18752,9295,9255,0.495680460750853,0.493547354948806,0.0124672378336831,0.00138039834352199,3200,1627,0.5084375,1871,939,0.501870657402459,0.512818458500955,0.0382291160427507
2022,1,Calendar-only,0.05,684,370,370,0.0364761092150171,0.54093567251462,0.54093567251462,18752,9295,9255,0.495680460750853,0.493547354948806,0.0473883175658145,0,584,320,0.547945205479452,100,50,0.5,0.551415775901236,0.068141543228556
2022,1,Calendar-only,0.075,150,82,82,0.00799914675767918,0.546666666666667,0.546666666666667,18752,9295,9255,0.495680460750853,0.493547354948806,0.0531193117178612,0,150,82,0.546666666666667,0,0,,0.587356637924432,0.0873566379244319
2022,1,Market-state,0,18752,9627,9255,1,0.51338523890785,0.493547354948806,18752,9627,9255,0.51338523890785,0.493547354948806,0.0198378839590443,0.0198378839590443,10384,5257,0.506259630200308,8368,4370,0.522227533460803,0.501222190365318,0.0215233758734963
2022,1,Market-state,0.025,5287,2754,2659,0.281943259385666,0.520900321543408,0.502931719311519,18752,9627,9255,0.51338523890785,0.493547354948806,0.0273529665946029,0.0179686022318896,2718,1422,0.52317880794702,2569,1332,0.518489684702219,0.500410110699722,0.0503336427920207
2022,1,Market-state,0.05,1807,928,852,0.0963630546075085,0.513558384061981,0.471499723298284,18752,9627,9255,0.51338523890785,0.493547354948806,0.0200110291131757,0.0420586607636967,867,420,0.484429065743945,940,508,0.540425531914894,0.497192274000079,0.0798549662475885
