horizon,feature_set,model_id,xgb_depth,target_coverage,confidence_cutoff,selected_n,coverage,wins,win_rate,ci95_lower,ci95_upper,flat_rate,baseline_wr,edge,active_weeks
1,NQ_ONLY,logit,,0.5,0.0340604105591271,10756,0.500023243921715,5644,0.524730383042023,0.515240689358673,0.534206682459402,0.0356080327259204,0.488564522127185,0.0361658609148382,53
1,NQ_ONLY,logit,,0.2,0.0601734472801512,4303,0.200037190274743,2344,0.544736230536835,0.529714428678755,0.559697250180703,0.0355565884266791,0.495468277945619,0.0492679525912154,53
1,NQ_ONLY,logit,,0.1,0.0740814875676983,2152,0.100041839059086,1209,0.561802973977695,0.540535340183857,0.582902047844779,0.0329925650557621,0.495817843866171,0.0659851301115242,53
1,NQ_ONLY,logit,,0.05,0.0860093292566224,1076,0.050020919529543,600,0.557620817843866,0.527356292020324,0.587569396627733,0.0446096654275093,0.490706319702602,0.0669144981412639,53
1,NQ_ONLY,logit,,0.02,0.0983281719440494,431,0.0200362605178746,243,0.563805104408353,0.515523828193189,0.611204629674444,0.0348027842227378,0.501160092807425,0.0626450116009281,53
1,NQ_ONLY,logit,,0.01,0.105348779730567,216,0.0100413741806518,125,0.578703703703704,0.509838920607925,0.645377782398899,0.0277777777777778,0.490740740740741,0.087962962962963,51
1,NQ_ONLY,logit,,0.005,0.111987132926467,108,0.00502068709032588,61,0.564814814814815,0.466012527017943,0.659971710357803,0.0185185185185185,0.490740740740741,0.074074074074074,46
1,NQ_ONLY,ranger,,0.5,0.025265077368797,10756,0.500023243921715,5648,0.525102268501302,0.515612824685412,0.534578116630424,0.0358869468203793,0.492841204908888,0.0322610635924135,53
1,NQ_ONLY,ranger,,0.2,0.0509847760925991,4303,0.200037190274743,2363,0.549151754589821,0.534139387293591,0.564097339820209,0.0374157564489891,0.481989309783872,0.0671624448059493,53
1,NQ_ONLY,ranger,,0.1,0.0645429975581382,2152,0.100041839059086,1225,0.569237918215613,0.548001616870706,0.59028537638578,0.0394981412639405,0.475371747211896,0.0938661710037175,53
1,NQ_ONLY,ranger,,0.05,0.0758996797740572,1076,0.050020919529543,612,0.568773234200744,0.538562834285219,0.598606514427886,0.0446096654275093,0.444237918215613,0.12453531598513,53
1,NQ_ONLY,ranger,,0.02,0.0881347804357108,431,0.0200362605178746,252,0.584686774941995,0.536555456707355,0.631647539666131,0.0464037122969838,0.426914153132251,0.157772621809745,53
1,NQ_ONLY,ranger,,0.01,0.0968620796361815,216,0.0100413741806518,117,0.541666666666667,0.472725189373914,0.609448803095727,0.0555555555555556,0.393518518518519,0.148148148148148,52
1,NQ_ONLY,ranger,,0.005,0.104758301174475,108,0.00502068709032588,62,0.574074074074074,0.475250378330473,0.668730982598792,0.0277777777777778,0.37962962962963,0.194444444444444,48
1,NQ_ONLY,xgb_d2,2,0.5,0.0286647081375122,10756,0.500023243921715,5714,0.531238378579398,0.521753815397661,0.54070602260844,0.0347712904425437,0.491260691706954,0.0399776868724434,53
1,NQ_ONLY,xgb_d2,2,0.2,0.054337203502655,4303,0.200037190274743,2355,0.547292586567511,0.532276103004663,0.562244814336712,0.0348594004183128,0.485707645828492,0.0615849407390193,53
1,NQ_ONLY,xgb_d2,2,0.1,0.06884765625,2152,0.100041839059086,1184,0.550185873605948,0.52887883067023,0.571356045965886,0.0357806691449814,0.480947955390335,0.0692379182156134,53
1,NQ_ONLY,xgb_d2,2,0.05,0.0812542587518692,1076,0.050020919529543,603,0.560408921933085,0.530156504914603,0.590330099735236,0.0353159851301115,0.45910780669145,0.101301115241636,53
1,NQ_ONLY,xgb_d2,2,0.02,0.0950748860836029,431,0.0200362605178746,232,0.538283062645012,0.489932263303065,0.586104897115428,0.0487238979118329,0.415313225058005,0.122969837587007,53
1,NQ_ONLY,xgb_d2,2,0.01,0.103711447119713,216,0.0100413741806518,111,0.513888888888889,0.445130063980757,0.582261317145261,0.0601851851851852,0.439814814814815,0.074074074074074,53
1,NQ_ONLY,xgb_d2,2,0.005,0.111150014400482,108,0.00502068709032588,60,0.555555555555556,0.456806969999629,0.651179922328777,0.0648148148148148,0.388888888888889,0.166666666666667,44
1,NQ_ONLY,xgb_d3,3,0.5,0.0304087996482849,10756,0.500023243921715,5704,0.530308664931201,0.520823270345179,0.539777643922928,0.0365377463741168,0.487634808478989,0.0426738564522127,53
1,NQ_ONLY,xgb_d3,3,0.2,0.0590989589691162,4303,0.200037190274743,2366,0.549848942598187,0.534838172887295,0.564791982883818,0.0367185684406228,0.481989309783872,0.0678596328143156,53
1,NQ_ONLY,xgb_d3,3,0.1,0.0755962133407593,2152,0.100041839059086,1189,0.552509293680298,0.531209204750587,0.573666174447611,0.0367100371747212,0.478159851301115,0.0743494423791822,53
1,NQ_ONLY,xgb_d3,3,0.05,0.0905992984771729,1076,0.050020919529543,593,0.551115241635688,0.520826134796102,0.581124080883956,0.04182156133829,0.463754646840149,0.087360594795539,53
1,NQ_ONLY,xgb_d3,3,0.02,0.106777590513229,431,0.0200362605178746,240,0.556844547563805,0.508531984010691,0.604371592411733,0.0417633410672854,0.410672853828306,0.146171693735499,53
1,NQ_ONLY,xgb_d3,3,0.01,0.117889699339867,216,0.0100413741806518,120,0.555555555555556,0.486599625382626,0.622965520335499,0.0462962962962963,0.435185185185185,0.12037037037037,52
1,NQ_ONLY,xgb_d3,3,0.005,0.127422992885113,108,0.00502068709032588,60,0.555555555555556,0.456806969999629,0.651179922328777,0.0740740740740741,0.351851851851852,0.203703703703704,44
1,NQ_ONLY,xgb_d4,4,0.5,0.031723290681839,10756,0.500023243921715,5717,0.531517292673857,0.522032985319439,0.540984529807838,0.0355150613611008,0.489587207140201,0.0419300855336557,53
1,NQ_ONLY,xgb_d4,4,0.2,0.0616851449012756,4303,0.200037190274743,2357,0.547757378573089,0.532741904453877,0.562707965333236,0.0395073204740878,0.48036253776435,0.0673948408087381,53
1,NQ_ONLY,xgb_d4,4,0.1,0.0799394249916077,2152,0.100041839059086,1190,0.552973977695167,0.53167533512839,0.574128144566176,0.0385687732342007,0.469795539033457,0.08317843866171,53
1,NQ_ONLY,xgb_d4,4,0.05,0.0963550508022308,1076,0.050020919529543,604,0.561338289962825,0.531090119587502,0.591250123589854,0.0390334572490706,0.468401486988848,0.0929368029739777,53
1,NQ_ONLY,xgb_d4,4,0.02,0.115415865182877,431,0.0200362605178746,254,0.589327146171694,0.541240689158663,0.636178845956131,0.037122969837587,0.426914153132251,0.162412993039443,53
1,NQ_ONLY,xgb_d4,4,0.01,0.12838106751442,216,0.0100413741806518,122,0.564814814814815,0.495877964568421,0.63194786651224,0.0416666666666667,0.444444444444444,0.12037037037037,51
1,NQ_ONLY,xgb_d4,4,0.005,0.140117345750332,108,0.00502068709032588,60,0.555555555555556,0.456806969999629,0.651179922328777,0.0555555555555556,0.37037037037037,0.185185185185185,43
1,NQ_ONLY,xgb_d5,5,0.5,0.0332401394844055,10756,0.500023243921715,5693,0.529285979918185,0.519799708720504,0.538756389434531,0.0361658609148382,0.489494235775381,0.039791744142804,53
1,NQ_ONLY,xgb_d5,5,0.2,0.0647937655448914,4303,0.200037190274743,2358,0.547989774575877,0.532974810083136,0.562939535926194,0.0402045084824541,0.484313269811759,0.063676504764118,53
1,NQ_ONLY,xgb_d5,5,0.1,0.084247499704361,2152,0.100041839059086,1203,0.559014869888476,0.537736718631896,0.580132066999419,0.0404275092936803,0.468401486988848,0.0906133828996282,53
1,NQ_ONLY,xgb_d5,5,0.05,0.101671472191811,1076,0.050020919529543,611,0.567843866171004,0.537628375048939,0.597687335744237,0.0464684014869888,0.45910780669145,0.108736059479554,53
1,NQ_ONLY,xgb_d5,5,0.02,0.121942460536957,431,0.0200362605178746,255,0.591647331786543,0.543584893269496,0.638442907293124,0.0464037122969838,0.415313225058005,0.176334106728538,53
1,NQ_ONLY,xgb_d5,5,0.01,0.136980372667313,216,0.0100413741806518,127,0.587962962962963,0.519175455451756,0.65430170592393,0.0462962962962963,0.402777777777778,0.185185185185185,50
1,NQ_ONLY,xgb_d5,5,0.005,0.149665154516697,108,0.00502068709032588,66,0.611111111111111,0.512530002079627,0.703436918618474,0.037037037037037,0.398148148148148,0.212962962962963,43
1,NQ_ES,logit,,0.5,0.0335578552932077,10756,0.500023243921715,5648,0.525102268501302,0.515612824685412,0.534578116630424,0.0362588322796579,0.491074748977315,0.0340275195239866,53
1,NQ_ES,logit,,0.2,0.0600612335875556,4303,0.200037190274743,2310,0.536834766442017,0.521799021212252,0.551820465677336,0.0367185684406228,0.487334417848013,0.0495003485940042,53
1,NQ_ES,logit,,0.1,0.074818025731305,2152,0.100041839059086,1208,0.561338289962825,0.540068856677812,0.582440430967076,0.0367100371747212,0.493959107806692,0.0673791821561339,53
1,NQ_ES,logit,,0.05,0.0865627423560075,1076,0.050020919529543,599,0.556691449814126,0.52642309786528,0.586648951979644,0.0399628252788104,0.474907063197026,0.0817843866171004,53
1,NQ_ES,logit,,0.02,0.0991352280558327,431,0.0200362605178746,232,0.538283062645012,0.489932263303065,0.586104897115428,0.0394431554524362,0.48723897911833,0.0510440835266821,53
1,NQ_ES,logit,,0.01,0.107836280146473,216,0.0100413741806518,116,0.537037037037037,0.468111802704722,0.604931777939718,0.037037037037037,0.467592592592593,0.0694444444444445,51
1,NQ_ES,logit,,0.005,0.116533783340924,108,0.00502068709032588,58,0.537037037037037,0.438491974539868,0.633499697077534,0.0277777777777778,0.518518518518519,0.0185185185185186,47
1,NQ_ES,ranger,,0.5,0.0256449111237126,10756,0.500023243921715,5659,0.526124953514318,0.516636223884132,0.535599533549785,0.0357010040907401,0.48968017850502,0.0364447750092971,53
1,NQ_ES,ranger,,0.2,0.0492339362275245,4303,0.200037190274743,2352,0.546595398559145,0.531577425347578,0.561550063321962,0.0374157564489891,0.484545665814548,0.0620497327445967,53
1,NQ_ES,ranger,,0.1,0.0617380828550311,2152,0.100041839059086,1213,0.563661710037175,0.54240146074616,0.584748328752503,0.0357806691449814,0.471189591078067,0.0924721189591078,53
1,NQ_ES,ranger,,0.05,0.0717811933882917,1076,0.050020919529543,637,0.592007434944238,0.561958974509463,0.62155129256645,0.0353159851301115,0.45724907063197,0.134758364312268,53
1,NQ_ES,ranger,,0.02,0.0825068574847218,431,0.0200362605178746,245,0.568445475638051,0.5201902286456,0.615754807900954,0.0348027842227378,0.433874709976798,0.134570765661253,53
1,NQ_ES,ranger,,0.01,0.090658064159281,216,0.0100413741806518,120,0.555555555555556,0.486599625382626,0.622965520335499,0.0416666666666667,0.421296296296296,0.134259259259259,53
1,NQ_ES,ranger,,0.005,0.097449309885385,108,0.00502068709032588,62,0.574074074074074,0.475250378330473,0.668730982598792,0.0462962962962963,0.37962962962963,0.194444444444444,51
1,NQ_ES,xgb_d2,2,0.5,0.02885502576828,10756,0.500023243921715,5700,0.529936779471923,0.520451061520803,0.539406283251794,0.0342134622536259,0.490330978058758,0.0396058014131647,53
1,NQ_ES,xgb_d2,2,0.2,0.0551127791404724,4303,0.200037190274743,2380,0.55310248663723,0.538099562128184,0.568033260655188,0.0332326283987915,0.488961189867534,0.0641412967696955,53
1,NQ_ES,xgb_d2,2,0.1,0.0692603588104248,2152,0.100041839059086,1203,0.559014869888476,0.537736718631896,0.580132066999419,0.0348513011152416,0.475836431226766,0.08317843866171,53
1,NQ_ES,xgb_d2,2,0.05,0.0803174823522568,1076,0.050020919529543,595,0.552973977695167,0.522691370176812,0.582966123806967,0.0343866171003717,0.454460966542751,0.0985130111524164,53
1,NQ_ES,xgb_d2,2,0.02,0.0943002104759216,431,0.0200362605178746,238,0.552204176334107,0.503875905481799,0.599811075181477,0.0394431554524362,0.408352668213457,0.14385150812065,53
1,NQ_ES,xgb_d2,2,0.01,0.10339869260788,216,0.0100413741806518,127,0.587962962962963,0.519175455451756,0.65430170592393,0.0462962962962963,0.402777777777778,0.185185185185185,53
1,NQ_ES,xgb_d2,2,0.005,0.111358834803105,108,0.00502068709032588,59,0.546296296296296,0.447633507520182,0.642355851977102,0.0555555555555556,0.444444444444444,0.101851851851852,43
1,NQ_ES,xgb_d3,3,0.5,0.0306878685951233,10756,0.500023243921715,5699,0.529843808107103,0.520358010135696,0.539313442262996,0.034957233172183,0.491353663071774,0.038490145035329,53
1,NQ_ES,xgb_d3,3,0.2,0.0597708225250244,4303,0.200037190274743,2355,0.547292586567511,0.532276103004663,0.562244814336712,0.0383453404601441,0.476179409714153,0.0711131768533581,53
1,NQ_ES,xgb_d3,3,0.1,0.0756816864013672,2152,0.100041839059086,1201,0.558085501858736,0.536803993721943,0.579208591060654,0.0362453531598513,0.464684014869888,0.0934014869888476,53
1,NQ_ES,xgb_d3,3,0.05,0.0891638696193695,1076,0.050020919529543,610,0.566914498141264,0.536694021655694,0.596768051137444,0.0408921933085502,0.432156133828996,0.134758364312268,53
1,NQ_ES,xgb_d3,3,0.02,0.105561536550522,431,0.0200362605178746,242,0.561484918793504,0.513192181058868,0.608927984712889,0.037122969837587,0.408352668213457,0.153132250580046,53
1,NQ_ES,xgb_d3,3,0.01,0.116848909854889,216,0.0100413741806518,125,0.578703703703704,0.509838920607925,0.645377782398899,0.0416666666666667,0.375,0.203703703703704,53
1,NQ_ES,xgb_d3,3,0.005,0.127770254015923,108,0.00502068709032588,57,0.527777777777778,0.429382239868441,0.624611620760113,0.0555555555555556,0.37962962962963,0.148148148148148,46
1,NQ_ES,xgb_d4,4,0.5,0.0318774580955505,10756,0.500023243921715,5693,0.529285979918185,0.519799708720504,0.538756389434531,0.0353291186314615,0.491446634436594,0.0378393454815916,53
