date,event,sourceA,timeA,sourceB,timeB,diff_min
2018-03-29,Michigan Consumer Sentiment,InvestingA(2011-18),2018-03-29 11:00:00-04:00,InvestingB(scraper),2018-03-29 10:00:00-04:00,60.0
2018-04-02,ISM Manufacturing PMI,InvestingA(2011-18),2018-04-02 11:00:00-04:00,InvestingB(scraper),2018-04-02 10:00:00-04:00,60.0
2018-04-04,ADP Nonfarm Employment Change,InvestingA(2011-18),2018-04-04 09:15:00-04:00,InvestingB(scraper),2018-04-04 08:15:00-04:00,60.0
2018-04-04,FOMC Member Bullard Speaks,InvestingA(2011-18),2018-04-04 10:45:00-04:00,InvestingB(scraper),2018-04-04 09:45:00-04:00,60.0
2018-04-04,ISM Non-Manufacturing PMI,InvestingA(2011-18),2018-04-04 11:00:00-04:00,InvestingB(scraper),2018-04-04 10:00:00-04:00,60.0
2018-04-05,Initial Jobless Claims,InvestingA(2011-18),2018-04-05 09:30:00-04:00,InvestingB(scraper),2018-04-05 08:30:00-04:00,60.0
2018-04-06,Nonfarm Payrolls,InvestingA(2011-18),2018-04-06 09:30:00-04:00,InvestingB(scraper),2018-04-06 08:30:00-04:00,60.0
2018-04-06,Unemployment Rate,InvestingA(2011-18),2018-04-06 09:30:00-04:00,InvestingB(scraper),2018-04-06 08:30:00-04:00,60.0
2018-04-06,Fed Chair Powell Speaks,InvestingA(2011-18),2018-04-06 14:30:00-04:00,InvestingB(scraper),2018-04-06 13:30:00-04:00,60.0
2018-04-11,10-Year Note Auction,InvestingA(2011-18),2018-04-11 14:00:00-04:00,InvestingB(scraper),2018-04-11 13:00:00-04:00,60.0
2018-04-11,FOMC Meeting Minutes,InvestingA(2011-18),2018-04-11 15:00:00-04:00,InvestingB(scraper),2018-04-11 14:00:00-04:00,60.0
2018-04-12,Initial Jobless Claims,InvestingA(2011-18),2018-04-12 09:30:00-04:00,InvestingB(scraper),2018-04-12 08:30:00-04:00,60.0
2018-04-12,30-Year Bond Auction,InvestingA(2011-18),2018-04-12 14:00:00-04:00,InvestingB(scraper),2018-04-12 13:00:00-04:00,60.0
2018-04-13,FOMC Member Bullard Speaks,InvestingA(2011-18),2018-04-13 10:00:00-04:00,InvestingB(scraper),2018-04-13 09:00:00-04:00,60.0
2018-04-13,Michigan 5-Year Inflation Expectations,InvestingA(2011-18),2018-04-13 11:00:00-04:00,InvestingB(scraper),2018-04-13 10:00:00-04:00,60.0
2018-04-13,Michigan Consumer Sentiment,InvestingA(2011-18),2018-04-13 11:00:00-04:00,InvestingB(scraper),2018-04-13 10:00:00-04:00,60.0
2018-04-16,NY Empire State Manufacturing Index,InvestingA(2011-18),2018-04-16 09:30:00-04:00,InvestingB(scraper),2018-04-16 08:30:00-04:00,60.0
2018-04-17,Housing Starts,InvestingA(2011-18),2018-04-17 09:30:00-04:00,InvestingB(scraper),2018-04-17 08:30:00-04:00,60.0
2018-04-17,FOMC Member Williams Speaks,InvestingA(2011-18),2018-04-17 10:15:00-04:00,InvestingB(scraper),2018-04-17 09:15:00-04:00,60.0
2018-04-19,Initial Jobless Claims,InvestingA(2011-18),2018-04-19 09:30:00-04:00,InvestingB(scraper),2018-04-19 08:30:00-04:00,60.0
2018-04-19,Philadelphia Fed Manufacturing Index,InvestingA(2011-18),2018-04-19 09:30:00-04:00,InvestingB(scraper),2018-04-19 08:30:00-04:00,60.0
2018-04-20,FOMC Member Williams Speaks,InvestingA(2011-18),2018-04-20 12:15:00-04:00,InvestingB(scraper),2018-04-20 11:15:00-04:00,60.0
2018-04-24,CB Consumer Confidence,InvestingA(2011-18),2018-04-24 11:00:00-04:00,InvestingB(scraper),2018-04-24 10:00:00-04:00,60.0
2018-04-24,New Home Sales,InvestingA(2011-18),2018-04-24 11:00:00-04:00,InvestingB(scraper),2018-04-24 10:00:00-04:00,60.0
2018-04-26,Initial Jobless Claims,InvestingA(2011-18),2018-04-26 09:30:00-04:00,InvestingB(scraper),2018-04-26 08:30:00-04:00,60.0
2018-04-27,Michigan 5-Year Inflation Expectations,InvestingA(2011-18),2018-04-27 11:00:00-04:00,InvestingB(scraper),2018-04-27 10:00:00-04:00,60.0
2018-04-27,Michigan Consumer Sentiment,InvestingA(2011-18),2018-04-27 11:00:00-04:00,InvestingB(scraper),2018-04-27 10:00:00-04:00,60.0
2018-05-01,ISM Manufacturing PMI,InvestingA(2011-18),2018-05-01 11:00:00-04:00,InvestingB(scraper),2018-05-01 10:00:00-04:00,60.0
2018-05-02,ADP Nonfarm Employment Change,InvestingA(2011-18),2018-05-02 09:15:00-04:00,InvestingB(scraper),2018-05-02 08:15:00-04:00,60.0
2018-05-02,FOMC Statement,InvestingA(2011-18),2018-05-02 15:00:00-04:00,InvestingB(scraper),2018-05-02 14:00:00-04:00,60.0
2018-05-02,Fed Interest Rate Decision,InvestingA(2011-18),2018-05-02 15:00:00-04:00,InvestingB(scraper),2018-05-02 14:00:00-04:00,60.0
2018-05-03,Initial Jobless Claims,InvestingA(2011-18),2018-05-03 09:30:00-04:00,InvestingB(scraper),2018-05-03 08:30:00-04:00,60.0
2018-05-03,ISM Non-Manufacturing PMI,InvestingA(2011-18),2018-05-03 11:00:00-04:00,InvestingB(scraper),2018-05-03 10:00:00-04:00,60.0
2018-05-04,Nonfarm Payrolls,InvestingA(2011-18),2018-05-04 09:30:00-04:00,InvestingB(scraper),2018-05-04 08:30:00-04:00,60.0
2018-05-04,Unemployment Rate,InvestingA(2011-18),2018-05-04 09:30:00-04:00,InvestingB(scraper),2018-05-04 08:30:00-04:00,60.0
2018-05-04,FOMC Member Williams Speaks,InvestingA(2011-18),2018-05-04 16:00:00-04:00,InvestingB(scraper),2018-05-04 15:00:00-04:00,60.0
2018-05-08,Fed Chair Powell Speaks,InvestingA(2011-18),2018-05-08 04:15:00-04:00,InvestingB(scraper),2018-05-08 03:15:00-04:00,60.0
2018-05-08,U.S. President Trump Speaks,InvestingA(2011-18),2018-05-08 15:00:00-04:00,InvestingB(scraper),2018-05-08 14:00:00-04:00,60.0
2018-05-09,10-Year Note Auction,InvestingA(2011-18),2018-05-09 14:00:00-04:00,InvestingB(scraper),2018-05-09 13:00:00-04:00,60.0
2018-05-10,Initial Jobless Claims,InvestingA(2011-18),2018-05-10 09:30:00-04:00,InvestingB(scraper),2018-05-10 08:30:00-04:00,60.0
2018-05-10,30-Year Bond Auction,InvestingA(2011-18),2018-05-10 14:00:00-04:00,InvestingB(scraper),2018-05-10 13:00:00-04:00,60.0
2018-05-11,FOMC Member Bullard Speaks,InvestingA(2011-18),2018-05-11 09:30:00-04:00,InvestingB(scraper),2018-05-11 08:30:00-04:00,60.0
2018-05-11,Michigan 5-Year Inflation Expectations,InvestingA(2011-18),2018-05-11 11:00:00-04:00,InvestingB(scraper),2018-05-11 10:00:00-04:00,60.0
2018-05-11,Michigan Consumer Sentiment,InvestingA(2011-18),2018-05-11 11:00:00-04:00,InvestingB(scraper),2018-05-11 10:00:00-04:00,60.0
