xgb_depth,horizon,feature_set,model_id,target_coverage,confidence_cutoff,selected_n,coverage,wins,win_rate,ci95_lower,ci95_upper,flat_rate,baseline_wr,edge,active_weeks
2,7,NQ_ONLY,xgb_d2,0.01,0.0791248917579652,215,0.0100181724989516,139,0.646511627906977,0.578605546100829,0.710314619633893,0.013953488372093,0.595348837209302,0.0511627906976744,50
3,7,NQ_ES,xgb_d3,0.02,0.0825974106788635,430,0.0200363449979032,258,0.6,0.551975247960078,0.646639030626109,0.0232558139534884,0.532558139534884,0.0674418604651162,53
4,3,NQ_ONLY,xgb_d4,0.1,0.0681100934743881,2150,0.100027914766912,1223,0.568837209302326,0.547589080155421,0.589897412705664,0.0209302325581395,0.482325581395349,0.0865116279069768,53
5,3,NQ_ONLY,xgb_d5,0.1,0.0725696802139282,2150,0.100027914766912,1228,0.571162790697674,0.54992536905886,0.592205935899313,0.0241860465116279,0.471162790697674,0.1,53
