feature,mean_abs_shap,mean_shap
nq_close_loc,0.0747443447757234,0.000980695717011529
nq_last_rth_ret,0.0335892194587421,0.000900242193995363
nq_ret2,0.0255080093440048,-0.00126696750058072
nq_macd_hist,0.0146341768125167,0.000103651306550765
nq_donchian20_pos,0.011783178566079,0.00135718480817589
tod_cos,0.00973377752968561,0.000596967233347973
minutes_to_us_close,0.0082444246385112,-0.00017409663145113
nq_ret5,0.00783690170657953,0.00045585525623236
nq_di_spread14,0.00778104713746897,-7.22871513993427e-05
nq_rth_position,0.0070729725576051,2.80468868676263e-05
nq_rs15_over_60,0.00557223944270393,0.000339292442959214
nq_vwap20_dist,0.00448023002649543,2.59551453583121e-05
nq_ret15,0.00411748835859657,3.56340050610897e-05
nq_rth_vwap_dist,0.00391251107691657,-9.10547793576532e-07
nq_rsi14,0.00372765642965303,0.000998221878384076
nq_bb_pctB,0.0035876449693743,0.000155289735694337
nq_rs60,0.0034268756848164,-0.000657188872888944
nq_bar_ret,0.00325573390176667,0.000158978694241711
tod_sin,0.00295434946853971,-0.000762565386379384
nq_rth_to_now,0.00292696347801701,7.46732853472078e-05
nq_ema20_dist,0.00260327434835329,-0.000102356682068181
nq_vol_rel60,0.00243750585019635,-0.000167965766249708
nq_open30_vol_rel20,0.00177587718965624,0.000839853098278535
nq_rs15,0.00173288543537759,-0.000367344491670622
nq_ema20_60_spread,0.00148546266830215,3.90972022900802e-05
nq_rv5_over_60,0.00139929487389172,-1.1901242855242e-05
nq_adx14,0.00126411689094711,7.47339055010885e-05
nq_ret1,0.00124527923075041,-9.43952412665661e-05
nq_bb_width,0.00121699741926177,-1.57658107142546e-05
asia_session,0.00109698510685573,1.96764460539669e-05
nq_prevclose_to_1000,0.00107431828991513,-2.11305139593604e-05
nq_rv60,0.000824692280899344,0.000310645819749149
nq_range,0.000810382320740297,-4.61309618914259e-05
nq_breakout20_up,0.000776190950532931,0.00013004991974292
nq_last_rth_range,0.000697497169475013,0.000264949379563734
nq_rv5,0.000658837161007932,5.47578168742525e-05
nq_macd,0.000620624474076843,1.78189318720646e-05
nq_rth_gap,0.000567453313179718,-1.17599393232147e-05
nq_open30_ret,0.000383943257644012,-6.48025707953083e-05
nq_ret60,0.000379695635428612,1.59824814563246e-05
us_last60,0.00030527450530808,5.69855724021132e-05
nq_ema60_dist,0.000239824351676551,-1.39391221410387e-05
nq_ret30,0.00021506866970267,2.26136987461911e-05
nq_open30_range,0.000190291636239465,-7.0420637900819e-05
nq_rv15,0.000133550663566034,-4.23176770853156e-05
nq_macd_signal,0.00011949167153089,1.55609873301051e-05
nq_vol_rel15,9.40927274073144e-05,3.6468967420787e-05
nq_open30_green,6.95847744041373e-05,-1.85426265111924e-06
dow_2,0,0
dow_3,0,0
dow_4,0,0
dow_5,0,0
dow_7,0,0
season_spring,0,0
season_summer,0,0
season_autumn,0,0
nq_breakout20_down,0,0
london_session,0,0
us_rth_session,0,0
london_us_overlap,0,0
us_last30,0,0
last_rth_known,0,0
rth_gap_known,0,0
opening30_known,0,0
