horizon,candidate_signals,missing_exact_endpoint,discontinuous_target,retained,flat_n,flat_rate
1,170924,808,0,157716,5977,0.0378972330010906
3,170924,861,148,157634,3808,0.0241572249641575
5,170924,846,350,157551,2873,0.0182353650563944
7,170924,858,501,157473,2592,0.0164599645653541
10,170924,891,759,157346,2162,0.0137404192035387
15,170924,877,1271,155927,1804,0.0115695165045181
30,170924,2783,2963,153456,1219,0.00794364508393285
60,170924,5924,5214,148617,769,0.00517437439862196
