signal_et,nq_ret1,es_ret1,max_abs_1m
2022-10-13T12:31:00Z,-0.0353061349506009,-0.0241564384985261,0.0353061349506009
2022-07-13T12:31:00Z,-0.0265843685382437,-0.0180456024691746,0.0265843685382437
2025-04-09T17:20:00Z,0.0263199041220338,0.0254675640739804,0.0263199041220338
2022-11-10T13:31:00Z,0.0258375965770132,0.0208956942382416,0.0258375965770132
2020-03-03T15:01:00Z,0.0216322090109367,0.0219149190043945,0.0219149190043945
2022-09-13T12:31:00Z,-0.0218005699596338,-0.0217214153272209,0.0218005699596338
2025-04-06T22:03:00Z,-0.00513257747525778,-0.020838887362406,0.020838887362406
2022-12-02T13:31:00Z,-0.0194490495196164,-0.0145816608963192,0.0194490495196164
2025-04-09T07:03:00Z,0.0193947055655313,0.0185597025682517,0.0193947055655313
2020-03-17T20:00:00Z,0.00578561269413378,0.0179115173960874,0.0179115173960874
2025-04-07T14:19:00Z,-0.0177032320127191,-0.0144381037127388,0.0177032320127191
2020-03-18T20:00:00Z,0.0172146583416578,0.0129346143187083,0.0172146583416578
2025-04-07T15:15:00Z,-0.0169794565794573,-0.0150453199284145,0.0169794565794573
2020-03-15T22:02:00Z,-0.0095001117042,0.0169455014544557,0.0169455014544557
2025-04-07T14:11:00Z,0.0167897376923005,0.0158374912630872,0.0167897376923005
2022-12-13T13:31:00Z,0.0166932229416603,0.0092437375778263,0.0166932229416603
2025-04-09T17:29:00Z,-0.0163362308884486,-0.0125976330589192,0.0163362308884486
2022-11-02T18:37:00Z,-0.015469386827051,-0.0115943327809193,0.015469386827051
2022-12-09T13:31:00Z,-0.0153468890661307,-0.0116694798868997,0.0153468890661307
2022-12-13T13:30:00Z,0.0153463213931561,0.0104479946426514,0.0153463213931561
2022-06-10T12:31:00Z,-0.0149664468137868,-0.010384829017744,0.0149664468137868
2020-03-17T20:01:00Z,-0.00676440008854204,-0.0144228520087842,0.0144228520087842
2020-03-22T23:40:00Z,0.00603106701334984,0.0143461415252468,0.0143461415252468
2025-04-06T22:04:00Z,0.0127004398633084,0.01428082008713,0.01428082008713
2025-04-09T11:01:00Z,-0.0141446725649149,-0.0112728283474717,0.0141446725649149
2020-03-26T19:51:00Z,0.0123166543419763,0.0138186476822849,0.0138186476822849
2025-04-09T17:21:00Z,0.00467540165905776,0.013756957522238,0.013756957522238
2024-06-19T00:01:00Z,0.0137057509098319,0.0123876985343784,0.0137057509098319
2025-04-07T14:14:00Z,0.0136100069076659,0.0130009535365526,0.0136100069076659
2020-04-12T22:17:00Z,-0.00972644560398904,-0.013524833776878,0.013524833776878
2024-12-19T00:01:00Z,0.0132961209992297,0.00029451982962446,0.0132961209992297
2024-04-10T12:31:00Z,-0.0130415234228409,-0.0103450020383769,0.0130415234228409
2022-08-10T12:31:00Z,0.0129770930781254,0.00925988217172497,0.0129770930781254
2022-09-21T18:01:00Z,-0.0129476692955486,-0.00985166204902443,0.0129476692955486
2020-03-16T20:01:00Z,0.0128415550376615,0.00875918008988155,0.0128415550376615
2023-12-13T00:01:00Z,0.012786890582525,0.011062828269092,0.012786890582525
2020-03-16T19:45:00Z,0.0123413544613997,0.0126032714924767,0.0126032714924767
2025-04-07T00:05:00Z,-0.0125943027478232,-0.00883312271044174,0.0125943027478232
2022-05-11T12:31:00Z,-0.0125584642305299,-0.00934528014931619,0.0125584642305299
2023-09-13T00:01:00Z,0.012526327569649,0.0108030898070745,0.012526327569649
2020-03-18T13:32:00Z,0.0124313194459519,0.00737466469126715,0.0124313194459519
2023-06-14T00:01:00Z,0.0122895039039308,0.0101841405914181,0.0122895039039308
2020-03-23T12:05:00Z,0.0106383982050558,0.0121736784509084,0.0121736784509084
2022-06-15T18:39:00Z,0.0121693936106089,0.00948314411382948,0.0121693936106089
2024-09-18T00:01:00Z,0.0121252283235072,0.0108371104659045,0.0121252283235072
2020-03-22T22:03:00Z,-0.0120936756740771,-0.00970050402728121,0.0120936756740771
