candidate_id,fold,full_year,horizon,feature_set,model_id,xgb_depth,target_coverage,confidence_cutoff,base_side,selected_n,coverage,wins,win_rate,base_wins,baseline_wr,edge,flat_rate,active_weeks,unique_days,top_day_share,top5_day_share,nonoverlap_n,nonoverlap_fraction,long_n,long_wins,long_wr,short_n,short_wins,short_wr,up_only_wr,down_only_wr
1__NQ_ONLY__xgb_d2__0.1000,2026_YTD,FALSE,1,NQ_ONLY,xgb_d2,2,0.1,0.0628209710121155,1,464,0.105694760820046,253,0.545258620689655,234,0.504310344827586,0.040948275862069,0.0193965517241379,11,59,0.0344827586206897,0.148706896551724,464,1,327,176,0.53822629969419,137,77,0.562043795620438,0.504310344827586,0.476293103448276
7__NQ_ONLY__ranger__0.0200,2026_YTD,FALSE,7,NQ_ONLY,ranger,,0.02,0.070046335386781,1,77,0.0175478577939836,44,0.571428571428571,40,0.51948051948052,0.051948051948052,0.025974025974026,11,46,0.0649350649350649,0.246753246753247,77,1,65,36,0.553846153846154,12,8,0.666666666666667,0.51948051948052,0.454545454545455
7__NQ_ES__xgb_d2__0.0500,2026_YTD,FALSE,7,NQ_ES,xgb_d2,2,0.05,0.0604223608970642,1,222,0.0505925250683683,114,0.513513513513514,112,0.504504504504505,0.00900900900900901,0.00900900900900901,11,58,0.0495495495495496,0.193693693693694,222,1,200,102,0.51,22,12,0.545454545454545,0.504504504504505,0.486486486486487
7__NQ_ES__xgb_d2__0.0100,2026_YTD,FALSE,7,NQ_ES,xgb_d2,2,0.01,0.0750900268554688,1,42,0.00957155879671832,21,0.5,19,0.452380952380952,0.0476190476190476,0.0476190476190476,10,30,0.0952380952380952,0.333333333333333,42,1,40,19,0.475,2,2,1,0.452380952380952,0.5
