candidate_id,coverage,confidence_cutoff,buy_threshold,sell_threshold,selected_n,win_rate,v5_cutoff,v5_selected_n,v5_win_rate,cutoff_diff,wr_diff,n_match,reproduction_pass
1__NQ_ONLY__xgb_d2__0.1000,0.1,0.0628209710121155,0.562820971012116,0.437179028987885,464,0.545258620689655,0.0628209710121155,464,0.545258620689655,0,0,TRUE,TRUE
7__NQ_ES__xgb_d2__0.0100,0.01,0.0750900268554688,0.575090026855469,0.424909973144531,42,0.5,0.0750900268554688,42,0.5,0,0,TRUE,TRUE
7__NQ_ES__xgb_d2__0.0500,0.05,0.0604223608970642,0.560422360897064,0.439577639102936,222,0.513513513513514,0.0604223608970642,222,0.513513513513514,0,0,TRUE,TRUE
7__NQ_ONLY__ranger__0.0200,0.02,0.070046335386781,0.570046335386781,0.429953664613219,77,0.571428571428571,0.070046335386781,77,0.571428571428571,0,0,TRUE,TRUE
