branch,alpha,years,total_n,total_wins,win_rate,selected_baseline_win_rate,weighted_full_baseline_win_rate,selection_gain,directional_edge,n_long,long_win_rate,n_short,short_win_rate,wr_lo,wr_hi,edge_lo,edge_hi
Long: 2–23 h,0,8,33514,18825,0.561705555887092,0.56191442382288,0.555663352613506,0.00604220327358607,-0.000208867935788115,33501,0.561833975105221,13,0.230769230769231,0.535515226587325,0.590874550440641,-0.000501460656823183,2.94823689887945e-05
Long: 2–23 h,0.25,8,29426,15971,0.54275130836675,0.543295045198124,0.547608982609258,-0.00485767424250749,-0.000543736831373654,29288,0.543225894564327,138,0.442028985507246,0.521294606965277,0.561015049059466,-0.00158520593542779,0.000490474443821496
Long: 2–23 h,0.5,8,30885,16715,0.54120123037073,0.541492633964708,0.541019072150216,0.000182158220514372,-0.000291403593977724,30760,0.541514954486346,125,0.464,0.527128609746051,0.557259558480255,-0.00120130057282519,0.000627847436337841
Short: 1–30 min,0,8,22067,11500,0.52114016404586,0.514025467893234,0.506838955073579,0.0143012089722816,0.00711469615262617,16094,0.524108363365229,5973,0.513142474468441,0.514425846636089,0.527795084584202,0.000448403428425936,0.0146301984408479
Short: 1–30 min,0.25,8,17573,9235,0.525522107778979,0.500312980139988,0.49907608355719,0.026446024221789,0.0252091276389916,9272,0.524482312338223,8301,0.526683532104566,0.517850617563641,0.53306564585783,0.0149130076774122,0.0353866879155032
Short: 1–30 min,0.5,8,18866,9885,0.523958443761264,0.496978691826566,0.497835138181178,0.0261233055800853,0.0269797519346974,10285,0.519202722411279,8581,0.529658547954784,0.516940918833572,0.531385556074244,0.0181632600175392,0.0360334674779258
