signal_et,signal_date,source_period,p_up,confidence,signal,outcome,correct_direction
2025-01-20T12:15:00Z,2025-01-20,2025 calibration,0.56536328792572,0.0653632879257202,BUY,-1,0
2025-01-20T13:30:00Z,2025-01-20,2025 calibration,0.561776697635651,0.0617766976356506,BUY,1,1
2025-01-21T02:30:00Z,2025-01-20,2025 calibration,0.566829562187195,0.0668295621871948,BUY,-1,0
2025-01-21T06:45:00Z,2025-01-21,2025 calibration,0.582184970378876,0.0821849703788757,BUY,1,1
2025-01-21T11:00:00Z,2025-01-21,2025 calibration,0.563890099525452,0.0638900995254517,BUY,1,1
2025-01-22T14:15:00Z,2025-01-22,2025 calibration,0.561797499656677,0.0617974996566773,BUY,-1,0
2025-01-22T16:00:00Z,2025-01-22,2025 calibration,0.581227362155914,0.0812273621559143,BUY,1,1
2025-01-22T17:45:00Z,2025-01-22,2025 calibration,0.580466985702515,0.0804669857025147,BUY,1,1
2025-01-22T18:15:00Z,2025-01-22,2025 calibration,0.572758376598358,0.0727583765983582,BUY,-1,0
2025-01-22T21:30:00Z,2025-01-22,2025 calibration,0.566317558288574,0.0663175582885742,BUY,1,1
2025-01-23T00:30:00Z,2025-01-22,2025 calibration,0.560759544372559,0.0607595443725586,BUY,1,1
2025-01-23T00:45:00Z,2025-01-22,2025 calibration,0.574045240879059,0.0740452408790588,BUY,-1,0
2025-01-23T05:15:00Z,2025-01-23,2025 calibration,0.415704369544983,0.0842956304550171,SELL,1,0
2025-01-23T06:00:00Z,2025-01-23,2025 calibration,0.566503584384918,0.0665035843849182,BUY,1,1
2025-01-23T06:45:00Z,2025-01-23,2025 calibration,0.566314220428467,0.0663142204284668,BUY,1,1
2025-01-24T02:15:00Z,2025-01-23,2025 calibration,0.437470763921738,0.0625292360782623,SELL,1,0
2025-01-24T03:30:00Z,2025-01-23,2025 calibration,0.569191038608551,0.069191038608551,BUY,-1,0
2025-01-24T06:00:00Z,2025-01-24,2025 calibration,0.563752830028534,0.0637528300285339,BUY,1,1
2025-01-24T07:15:00Z,2025-01-24,2025 calibration,0.568150818347931,0.0681508183479309,BUY,1,1
2025-01-27T00:45:00Z,2025-01-26,2025 calibration,0.564189016819,0.0641890168190002,BUY,-1,0
2025-01-27T03:15:00Z,2025-01-26,2025 calibration,0.439566493034363,0.0604335069656372,SELL,1,0
