candidate_id,coverage,confidence_cutoff,buy_threshold,sell_threshold,rule
1__NQ_ONLY__xgb_d2__0.1000,0.1,0.0628209710121155,0.562820971012116,0.437179028987885,BUY if p_up >= 0.56282097; SELL if p_up <= 0.43717903; otherwise NO TRADE.
7__NQ_ES__xgb_d2__0.0100,0.01,0.0750900268554688,0.575090026855469,0.424909973144531,BUY if p_up >= 0.57509003; SELL if p_up <= 0.42490997; otherwise NO TRADE.
7__NQ_ES__xgb_d2__0.0500,0.05,0.0604223608970642,0.560422360897064,0.439577639102936,BUY if p_up >= 0.56042236; SELL if p_up <= 0.43957764; otherwise NO TRADE.
7__NQ_ONLY__ranger__0.0200,0.02,0.070046335386781,0.570046335386781,0.429953664613219,BUY if p_up >= 0.57004634; SELL if p_up <= 0.42995366; otherwise NO TRADE.
