selected_n,coverage,wins,win_rate,ci95_lower,ci95_upper,flat_rate,baseline_wr,edge,active_weeks,period,block_ci95_lower,block_ci95_upper,horizon,feature_set,model_id,xgb_depth,confidence_cutoff,statistically_above_50
168,0.00813401762370485,88,0.523809523809524,0.445476161583827,0.601288077099439,0,0.464285714285714,0.0595238095238095,28,2025,0.387086021505376,0.595961268312262,60,NQ_ONLY,logit,,0.097677170094431,FALSE
29,0.00694444444444444,13,0.448275862068966,0.264455303706705,0.643061289196086,0,0.448275862068966,0,5,2026_YTD,0.0476190476190476,0.611245519713262,60,NQ_ONLY,logit,,0.097677170094431,FALSE
