ts,signal_et,futures_session_date,roll_break,roll_segment,state_segment,nq_raw_ret1,es_raw_ret1,max_abs_1m
2022-10-13T12:30:00Z,2022-10-13T12:31:00Z,2022-10-13,FALSE,1,17244,-0.0353061349506009,-0.0241564384985261,0.0353061349506009
2022-07-13T12:30:00Z,2022-07-13T12:31:00Z,2022-07-13,FALSE,0,17167,-0.0265843685382437,-0.0180456024691746,0.0265843685382437
2025-04-09T17:19:00Z,2025-04-09T17:20:00Z,2025-04-09,FALSE,10,18608,0.0263199041220338,0.0254675640739804,0.0263199041220338
2022-11-10T13:30:00Z,2022-11-10T13:31:00Z,2022-11-10,FALSE,1,17264,0.0258375965770132,0.0208956942382416,0.0258375965770132
2020-03-03T15:00:00Z,2020-03-03T15:01:00Z,2020-03-03,FALSE,0,15640,0.0216322090109367,0.0219149190043945,0.0219149190043945
2022-09-13T12:30:00Z,2022-09-13T12:31:00Z,2022-09-13,FALSE,0,17220,-0.0218005699596338,-0.0217214153272209,0.0218005699596338
2025-04-06T22:02:00Z,2025-04-06T22:03:00Z,2025-04-07,FALSE,10,18606,-0.00513257747525778,-0.020838887362406,0.020838887362406
2022-12-02T13:30:00Z,2022-12-02T13:31:00Z,2022-12-02,FALSE,1,17285,-0.0194490495196164,-0.0145816608963192,0.0194490495196164
2025-04-09T07:02:00Z,2025-04-09T07:03:00Z,2025-04-09,FALSE,10,18608,0.0193947055655313,0.0185597025682517,0.0193947055655313
2020-03-17T19:59:00Z,2020-03-17T20:00:00Z,2020-03-17,FALSE,0,15934,0.00578561269413378,0.0179115173960874,0.0179115173960874
2025-04-07T14:18:00Z,2025-04-07T14:19:00Z,2025-04-07,FALSE,10,18606,-0.0177032320127191,-0.0144381037127388,0.0177032320127191
2020-03-18T19:59:00Z,2020-03-18T20:00:00Z,2020-03-18,FALSE,0,15970,0.0172146583416578,0.0129346143187083,0.0172146583416578
2025-04-07T15:14:00Z,2025-04-07T15:15:00Z,2025-04-07,FALSE,10,18606,-0.0169794565794573,-0.0150453199284145,0.0169794565794573
2020-03-15T22:01:00Z,2020-03-15T22:02:00Z,2020-03-16,FALSE,0,15817,-0.0095001117042,0.0169455014544557,0.0169455014544557
