candidate_id,horizon,feature_set,model_id,xgb_depth,target_coverage,selected_n,wins,overall_wr,base_wins,overall_baseline_wr,overall_edge,total_nonoverlap_n,nonoverlap_fraction,avg_active_weeks_full,min_active_weeks_full,folds_over_50,full_years_over_50,min_full_year_wr,max_full_year_wr,max_top_day_share_all,max_top5_day_share_all,max_top5_day_share_full,long_n,long_wins,long_wr,short_n,short_wins,short_wr,mean_actual_coverage,temporal_ok,persistence_ok,wr_block_lower,wr_block_upper,edge_block_lower,edge_block_upper,statistically_robust
1__NQ_ONLY__xgb_d5__0.0050,1,NQ_ONLY,xgb_d5,5,0.005,300,160,0.533333333333333,154,0.513333333333333,0.02,300,1,42,38,2,2,0.480314960629921,0.630769230769231,0.111111111111111,0.5,0.188888888888889,162,92,0.567901234567901,138,68,0.492753623188406,0.00428277185467349,TRUE,TRUE,0.483105235337378,0.584675582897152,-0.0536480977646814,0.0894245132699298,FALSE
15__NQ_ONLY__xgb_d4__0.0100,15,NQ_ONLY,xgb_d4,4,0.01,723,374,0.517289073305671,360,0.49792531120332,0.0193637621023513,723,1,51.3333333333333,50,4,3,0.505434782608696,0.526315789473684,0.1,0.4,0.179347826086957,625,318,0.5088,98,56,0.571428571428571,0.00987001177312016,TRUE,TRUE,0.482659330960302,0.549598822115657,-0.00607997476157154,0.0487056971797159,FALSE
10__NQ_ES__xgb_d2__0.0100,10,NQ_ES,xgb_d2,2,0.01,686,357,0.520408163265306,351,0.511661807580175,0.0087463556851312,686,1,52.3333333333333,52,2,2,0.475490196078431,0.54950495049505,0.0980392156862745,0.333333333333333,0.0980392156862745,568,296,0.52112676056338,118,61,0.516949152542373,0.0102747217658012,TRUE,TRUE,0.482547215776556,0.557359189378057,-0.0236802413273002,0.0396549083752574,FALSE
15__NQ_ES__xgb_d4__0.0050,15,NQ_ES,xgb_d4,4,0.005,368,196,0.532608695652174,178,0.483695652173913,0.0489130434782609,368,1,46.3333333333333,44,2,2,0.477272727272727,0.564516129032258,0.173913043478261,0.478260869565217,0.170454545454545,238,122,0.512605042016807,130,74,0.569230769230769,0.00538036240475537,TRUE,TRUE,0.48236486330869,0.582656860919754,-0.00838165866708632,0.115294944032959,FALSE
7__NQ_ES__xgb_d5__0.0100,7,NQ_ES,xgb_d5,5,0.01,663,344,0.518853695324284,321,0.484162895927602,0.0346907993966818,663,1,50,48,3,3,0.516666666666667,0.53,0.0833333333333333,0.333333333333333,0.122222222222222,405,206,0.508641975308642,258,138,0.534883720930233,0.00931555473307849,TRUE,TRUE,0.481526086229481,0.555736230798052,-0.0125841509433962,0.0797258564914489,FALSE
7__NQ_ES__xgb_d5__0.0050,7,NQ_ES,xgb_d5,5,0.005,304,161,0.529605263157895,147,0.483552631578947,0.0460526315789474,304,1,41,40,3,3,0.527272727272727,0.537037037037037,0.0769230769230769,0.384615384615385,0.178082191780822,192,99,0.515625,112,62,0.553571428571429,0.00411314253587357,TRUE,TRUE,0.479161610032362,0.582093234485468,-0.0156739811912226,0.108918494238502,FALSE
15__NQ_ONLY__xgb_d3__0.0050,15,NQ_ONLY,xgb_d3,3,0.005,388,204,0.525773195876289,191,0.492268041237113,0.0335051546391753,388,1,45,42,3,3,0.521739130434783,0.568965517241379,0.166666666666667,0.583333333333333,0.182608695652174,331,169,0.510574018126888,57,35,0.614035087719298,0.00511144440911451,TRUE,TRUE,0.477982423335827,0.571803163500771,0.00260251427664975,0.0665004262574595,FALSE
15__NQ_ONLY__xgb_d5__0.0050,15,NQ_ONLY,xgb_d5,5,0.005,357,188,0.526610644257703,178,0.49859943977591,0.0280112044817927,357,1,44,34,3,3,0.504347826086957,0.545454545454545,0.0833333333333333,0.416666666666667,0.212121212121212,281,145,0.516014234875445,76,43,0.565789473684211,0.00473844994421716,TRUE,TRUE,0.477196101891447,0.581922720584228,-0.0150232713531946,0.0752141656681346,FALSE
10__NQ_ONLY__ranger__0.0050,10,NQ_ONLY,ranger,,0.005,372,197,0.529569892473118,198,0.532258064516129,-0.00268817204301075,372,1,46,43,3,2,0.477064220183486,0.556451612903226,0.105263157894737,0.473684210526316,0.112903225806452,315,169,0.536507936507937,57,28,0.491228070175439,0.00517999695702663,TRUE,TRUE,0.476878612716763,0.583826552123959,-0.0372415292909703,0.0346668941087657,FALSE
15__NQ_ES__xgb_d2__0.0100,15,NQ_ES,xgb_d2,2,0.01,820,418,0.509756097560976,408,0.497560975609756,0.0121951219512195,820,1,52,52,2,2,0.497093023255814,0.538860103626943,0.244444444444444,0.511111111111111,0.139896373056995,743,375,0.50471063257066,77,43,0.558441558441558,0.0117214146872332,TRUE,TRUE,0.476476411832846,0.543454949454835,-0.00755667506297229,0.033295682108393,FALSE
