ablation_set,selected_n,wins,overall_wr,base_wins,baseline_wr,edge,total_nonoverlap_n,avg_active_weeks_full,min_active_weeks_full,full_years_over_50,max_top5_day_share_full,wr_block_lower,wr_block_upper,edge_block_lower,edge_block_upper
NQ_ES_RICH,701,410,0.584878744650499,369,0.526390870185449,0.0584878744650499,701,51,49,3,0.0990566037735849,0.550873938590961,0.618316398390342,0.0158959537572254,0.1
NQ_RICH,730,418,0.572602739726027,366,0.501369863013699,0.0712328767123288,730,52.3333333333333,52,3,0.0827067669172932,0.53758335083876,0.607798745946408,0.0268481305565705,0.121387849197845
NQ_BASE_PLUS_TECH,878,500,0.569476082004556,442,0.503416856492027,0.0660592255125285,878,51,50,3,0.0813648293963255,0.534949194381721,0.60363579791202,0.0338797495020683,0.100476871146137
NQ_BASE,716,393,0.548882681564246,366,0.511173184357542,0.0377094972067039,716,51.3333333333333,49,3,0.092485549132948,0.514363795794595,0.585300778521316,0.00390474759615385,0.0746965767634855
NQ_BASE_PLUS_SESSION,622,340,0.546623794212219,323,0.519292604501608,0.0273311897106109,622,50,48,3,0.114457831325301,0.507743287582064,0.587405569802956,-0.0101184711271136,0.0667779675967501
