xgb_depth,candidate_id,horizon,feature_set,model_id,target_coverage,selected_n,wins,overall_wr,base_wins,overall_baseline_wr,overall_edge,total_nonoverlap_n,nonoverlap_fraction,avg_active_weeks_full,min_active_weeks_full,folds_over_50,full_years_over_50,min_full_year_wr,max_full_year_wr,max_top_day_share_all,max_top5_day_share_all,max_top5_day_share_full,long_n,long_wins,long_wr,short_n,short_wins,short_wr,mean_actual_coverage,temporal_ok,persistence_ok,wr_block_lower,wr_block_upper,edge_block_lower,edge_block_upper,statistically_robust
2,7__NQ_ES__xgb_d2__0.0100,7,NQ_ES,xgb_d2,0.01,701,410,0.584878744650499,369,0.526390870185449,0.0584878744650499,701,1,51,49,3,3,0.537735849056604,0.635071090047393,0.0952380952380952,0.333333333333333,0.0990566037735849,479,280,0.58455114822547,222,130,0.585585585585586,0.0100386899629017,TRUE,TRUE,0.550066978281936,0.62103941616915,0.0148610446247847,0.100452359936821,TRUE
3,7__NQ_ONLY__xgb_d3__0.1000,7,NQ_ONLY,xgb_d3,0.1,7127,3941,0.552967588045461,3641,0.510874140592114,0.0420934474533464,7127,1,52.6666666666667,52,3,3,0.543538038496792,0.56488181379643,0.0363636363636364,0.170454545454545,0.0411184210526316,5000,2742,0.5484,2127,1199,0.563704748472026,0.102657267569915,TRUE,TRUE,0.540940120830063,0.564229249011858,0.0286424517880195,0.0544225232595202,TRUE
4,10__NQ_ES__xgb_d4__0.0050,10,NQ_ES,xgb_d4,0.005,326,193,0.592024539877301,158,0.484662576687117,0.107361963190184,326,1,40,35,4,3,0.548387096774194,0.595238095238095,0.294117647058824,0.529411764705882,0.209677419354839,187,106,0.566844919786096,139,87,0.62589928057554,0.00454997462772452,TRUE,TRUE,0.541656353135314,0.645208728652751,0.0358155808494619,0.176829758450318,TRUE
5,5__NQ_ES__xgb_d5__0.0200,5,NQ_ES,xgb_d5,0.02,1323,744,0.562358276643991,676,0.510959939531368,0.0513983371126228,1323,1,52.3333333333333,51,4,3,0.543973941368078,0.584352078239609,0.0609756097560976,0.268292682926829,0.107491856677524,846,474,0.560283687943262,477,270,0.566037735849057,0.0190325249015714,TRUE,TRUE,0.536910404167202,0.586967259151579,0.0210510534206581,0.0797642524906502,TRUE
