ablation_set,fold,full_year,horizon,model_id,target_coverage,confidence_cutoff,selected_n,coverage,wins,win_rate,base_wins,baseline_wr,edge,flat_rate,active_weeks,unique_days,top_day_share,top5_day_share,nonoverlap_n,nonoverlap_fraction,long_n,long_wins,long_wr,short_n,short_wins,short_wr,up_only_wr,down_only_wr
NQ_BASE,2023,TRUE,7,xgb_d2,0.01,0.07027743935585,173,0.00809281002947093,96,0.554913294797688,86,0.497109826589595,0.0578034682080925,0.023121387283237,49,130,0.023121387283237,0.092485549132948,173,1,135,72,0.533333333333333,38,24,0.631578947368421,0.497109826589595,0.479768786127168
NQ_BASE,2024,TRUE,7,xgb_d2,0.01,0.0684130072593689,210,0.00978975339145028,125,0.595238095238095,94,0.447619047619048,0.147619047619048,0.0190476190476191,52,143,0.0190476190476191,0.0761904761904762,210,1,123,67,0.544715447154472,87,58,0.666666666666667,0.447619047619048,0.533333333333333
NQ_BASE,2025,TRUE,7,xgb_d2,0.01,0.068289116024971,285,0.0130548302872063,150,0.526315789473684,165,0.578947368421053,-0.0526315789473684,0.0245614035087719,53,179,0.0140350877192982,0.0701754385964912,285,1,210,120,0.571428571428571,75,30,0.4,0.578947368421053,0.396491228070175
NQ_BASE,2026_YTD,FALSE,7,xgb_d2,0.01,0.0666294693946839,48,0.0109389243391067,22,0.458333333333333,21,0.4375,0.0208333333333333,0.0208333333333333,10,28,0.104166666666667,0.354166666666667,48,1,45,20,0.444444444444444,3,2,0.666666666666667,0.4375,0.541666666666667
NQ_BASE_PLUS_TECH,2023,TRUE,7,xgb_d2,0.01,0.0725371485948562,381,0.0178228937643261,221,0.58005249343832,192,0.503937007874016,0.0761154855643045,0.026246719160105,52,200,0.020997375328084,0.0813648293963255,381,1,297,166,0.558922558922559,84,55,0.654761904761905,0.503937007874016,0.469816272965879
NQ_BASE_PLUS_TECH,2024,TRUE,7,xgb_d2,0.01,0.083445417881012,231,0.0107687287305953,136,0.588744588744589,121,0.523809523809524,0.0649350649350649,0.0173160173160173,50,149,0.0173160173160173,0.0779220779220779,231,1,149,88,0.590604026845638,82,48,0.585365853658537,0.523809523809524,0.458874458874459
NQ_BASE_PLUS_TECH,2025,TRUE,7,xgb_d2,0.01,0.0819464772939682,232,0.0106270899180065,128,0.551724137931035,114,0.491379310344828,0.0603448275862069,0.0301724137931035,51,159,0.0172413793103448,0.0775862068965517,232,1,161,86,0.53416149068323,71,42,0.591549295774648,0.491379310344828,0.478448275862069
NQ_BASE_PLUS_TECH,2026_YTD,FALSE,7,xgb_d2,0.01,0.0795588552951814,34,0.00774840474020055,15,0.441176470588235,15,0.441176470588235,0,0.0294117647058824,9,23,0.0882352941176471,0.352941176470588,34,1,34,15,0.441176470588235,0,0,,0.441176470588235,0.529411764705882
NQ_BASE_PLUS_SESSION,2023,TRUE,7,xgb_d2,0.01,0.0709645152091979,167,0.00781213453711933,96,0.574850299401198,85,0.508982035928144,0.0658682634730539,0.0179640718562874,49,119,0.029940119760479,0.11377245508982,167,1,113,64,0.566371681415929,54,32,0.592592592592593,0.508982035928144,0.473053892215569
NQ_BASE_PLUS_SESSION,2024,TRUE,7,xgb_d2,0.01,0.0670414638519287,166,0.00773856696657499,90,0.542168674698795,81,0.487951807228916,0.0542168674698795,0.0301204819277108,48,110,0.0301204819277108,0.114457831325301,166,1,82,44,0.536585365853659,84,46,0.547619047619048,0.487951807228916,0.481927710843373
NQ_BASE_PLUS_SESSION,2025,TRUE,7,xgb_d2,0.01,0.0689908266067505,237,0.0108561220283084,128,0.540084388185654,132,0.556962025316456,-0.0168776371308017,0.029535864978903,53,156,0.0253164556962025,0.0928270042194093,237,1,198,111,0.560606060606061,39,17,0.435897435897436,0.556962025316456,0.413502109704641
NQ_BASE_PLUS_SESSION,2026_YTD,FALSE,7,xgb_d2,0.01,0.0642337024211884,52,0.0118505013673655,26,0.5,25,0.480769230769231,0.0192307692307692,0.0192307692307692,10,28,0.134615384615385,0.384615384615385,52,1,49,24,0.489795918367347,3,2,0.666666666666667,0.480769230769231,0.5
NQ_RICH,2023,TRUE,7,xgb_d2,0.01,0.0756625851988792,266,0.0124432801609206,160,0.601503759398496,127,0.477443609022556,0.12406015037594,0.0150375939849624,52,173,0.018796992481203,0.0827067669172932,266,1,169,96,0.568047337278107,97,64,0.65979381443299,0.477443609022556,0.507518796992481
NQ_RICH,2024,TRUE,7,xgb_d2,0.01,0.0803382587432862,186,0.00867092443242739,110,0.591397849462366,100,0.537634408602151,0.0537634408602151,0.010752688172043,53,132,0.0161290322580645,0.0806451612903226,186,1,117,71,0.606837606837607,69,39,0.565217391304348,0.537634408602151,0.451612903225806
NQ_RICH,2025,TRUE,7,xgb_d2,0.01,0.079681321978569,238,0.0109019284503687,126,0.529411764705882,116,0.487394957983193,0.0420168067226891,0.0252100840336134,52,157,0.0168067226890756,0.0798319327731092,238,1,159,82,0.515723270440252,79,44,0.556962025316456,0.487394957983193,0.487394957983193
NQ_RICH,2026_YTD,FALSE,7,xgb_d2,0.01,0.0768485844135285,40,0.00911577028258888,22,0.55,23,0.575,-0.025,0,10,31,0.075,0.3,40,1,39,22,0.564102564102564,1,0,0,0.575,0.425
NQ_ES_RICH,2023,TRUE,7,xgb_d2,0.01,0.077525627017021,211,0.00987042148103101,134,0.635071090047393,103,0.488151658767773,0.146919431279621,0.018957345971564,49,131,0.018957345971564,0.0853080568720379,211,1,128,78,0.609375,83,56,0.674698795180723,0.488151658767773,0.492890995260663
NQ_ES_RICH,2024,TRUE,7,xgb_d2,0.01,0.0806277585029602,236,0.0110018180970584,141,0.597457627118644,143,0.605932203389831,-0.00847457627118644,0.00847457627118644,53,161,0.0211864406779661,0.0889830508474576,236,1,165,107,0.648484848484848,71,34,0.47887323943662,0.605932203389831,0.385593220338983
NQ_ES_RICH,2025,TRUE,7,xgb_d2,0.01,0.0771219730377197,212,0.00971096147679905,114,0.537735849056604,104,0.490566037735849,0.0471698113207547,0.0283018867924528,51,137,0.0235849056603774,0.0990566037735849,212,1,146,76,0.520547945205479,66,38,0.575757575757576,0.490566037735849,0.481132075471698
NQ_ES_RICH,2026_YTD,FALSE,7,xgb_d2,0.01,0.0750900268554688,42,0.00957155879671832,21,0.5,19,0.452380952380952,0.0476190476190476,0.0476190476190476,10,30,0.0952380952380952,0.333333333333333,42,1,40,19,0.475,2,2,1,0.452380952380952,0.5
