candidate_id,horizon,feature_set,model_id,xgb_depth,target_coverage,selected_n,wins,overall_wr,base_wins,overall_baseline_wr,overall_edge,total_nonoverlap_n,nonoverlap_fraction,avg_active_weeks_full,min_active_weeks_full,folds_over_50,full_years_over_50,min_full_year_wr,max_full_year_wr,max_top_day_share_all,max_top5_day_share_all,max_top5_day_share_full,long_n,long_wins,long_wr,short_n,short_wins,short_wr,mean_actual_coverage,temporal_ok,persistence_ok,wr_block_lower,wr_block_upper,edge_block_lower,edge_block_upper,statistically_robust
7__NQ_ES__xgb_d2__0.0100,7,NQ_ES,xgb_d2,2,0.01,701,410,0.584878744650499,369,0.526390870185449,0.0584878744650499,701,1,51,49,3,3,0.537735849056604,0.635071090047393,0.0952380952380952,0.333333333333333,0.0990566037735849,479,280,0.58455114822547,222,130,0.585585585585586,0.0100386899629017,TRUE,TRUE,0.550066978281936,0.62103941616915,0.0148610446247847,0.100452359936821,TRUE
7__NQ_ES__xgb_d2__0.0500,7,NQ_ES,xgb_d2,2,0.05,3647,2058,0.564299424184261,1904,0.522072936660269,0.0422264875239923,3647,1,52.6666666666667,52,4,3,0.565094339622642,0.569787985865724,0.0495495495495496,0.193693693693694,0.0512367491166078,2760,1546,0.560144927536232,887,512,0.577226606538895,0.0523847885522851,TRUE,TRUE,0.54806357010971,0.580383266049664,0.0271686205839234,0.059333758175653,TRUE
7__NQ_ONLY__xgb_d2__0.0500,7,NQ_ONLY,xgb_d2,2,0.05,3818,2125,0.556574122577266,1982,0.519119958093243,0.037454164484023,3818,1,52.6666666666667,52,4,3,0.558310376492195,0.561231630510847,0.0480769230769231,0.192307692307692,0.0485347985347985,2861,1582,0.552953512757777,957,543,0.567398119122257,0.0537592572008643,TRUE,TRUE,0.543288375791103,0.573264030655747,0.0209868051537237,0.0529280440744772,TRUE
10__NQ_ES__xgb_d4__0.0050,10,NQ_ES,xgb_d4,4,0.005,326,193,0.592024539877301,158,0.484662576687117,0.107361963190184,326,1,40,35,4,3,0.548387096774194,0.595238095238095,0.294117647058824,0.529411764705882,0.209677419354839,187,106,0.566844919786096,139,87,0.62589928057554,0.00454997462772452,TRUE,TRUE,0.541656353135314,0.645208728652751,0.0358155808494619,0.176829758450318,TRUE
7__NQ_ONLY__ranger__0.0200,7,NQ_ONLY,ranger,,0.02,1593,901,0.565599497802888,833,0.522912743251726,0.0426867545511613,1593,1,52.6666666666667,52,4,3,0.549473684210526,0.593333333333333,0.0649350649350649,0.246753246753247,0.0610526315789474,1196,671,0.561036789297659,397,230,0.579345088161209,0.0219826218127429,TRUE,TRUE,0.541369761862631,0.589598674588833,0.0165622205634219,0.0676043888457996,TRUE
7__NQ_ONLY__xgb_d3__0.1000,7,NQ_ONLY,xgb_d3,3,0.1,7127,3941,0.552967588045461,3641,0.510874140592114,0.0420934474533464,7127,1,52.6666666666667,52,3,3,0.543538038496792,0.56488181379643,0.0363636363636364,0.170454545454545,0.0411184210526316,5000,2742,0.5484,2127,1199,0.563704748472026,0.102657267569915,TRUE,TRUE,0.540940120830063,0.564229249011858,0.0286424517880195,0.0544225232595202,TRUE
7__NQ_ONLY__ranger__0.0500,7,NQ_ONLY,ranger,,0.05,3904,2182,0.55891393442623,2050,0.525102459016393,0.0338114754098361,3904,1,52.6666666666667,52,4,3,0.554498269896194,0.57716894977169,0.0495049504950495,0.198019801980198,0.0493079584775087,2990,1666,0.557190635451505,914,516,0.564551422319475,0.0544775312461611,TRUE,TRUE,0.540717291400825,0.574234176852989,0.0175970589256873,0.049503269996984,TRUE
7__NQ_ONLY__logit__0.0200,7,NQ_ONLY,logit,,0.02,1287,727,0.564879564879565,689,0.535353535353535,0.0295260295260295,1287,1,52.3333333333333,51,3,3,0.550403225806452,0.58876404494382,0.0909090909090909,0.363636363636364,0.125842696629213,856,495,0.578271028037383,431,232,0.538283062645012,0.0174133171219044,TRUE,TRUE,0.540473418484913,0.591751005388253,0.00216648841354724,0.0614515054927055,TRUE
7__NQ_ONLY__xgb_d4__0.1000,7,NQ_ONLY,xgb_d4,4,0.1,7016,3864,0.550741163055872,3529,0.502993158494869,0.0477480045610034,7016,1,52.6666666666667,52,4,3,0.536091549295775,0.56281179138322,0.0368550368550369,0.164619164619165,0.0413732394366197,4813,2609,0.542073550799917,2203,1255,0.569677712210622,0.0998406757113965,TRUE,TRUE,0.539913241194528,0.562206854074441,0.0355667802766789,0.0593799207610721,TRUE
5__NQ_ONLY__logit__0.0500,5,NQ_ONLY,logit,,0.05,3212,1793,0.558219178082192,1677,0.522104607721046,0.0361145703611457,3212,1,52.6666666666667,52,4,3,0.541176470588235,0.570017953321364,0.0406091370558376,0.187817258883249,0.069683257918552,2171,1220,0.561953017042837,1041,573,0.550432276657061,0.0461488143088322,TRUE,TRUE,0.539893770874608,0.57723680849511,0.0150848815382967,0.056183091979712,TRUE
7__NQ_ES__xgb_d3__0.1000,7,NQ_ES,xgb_d3,3,0.1,7264,3997,0.550247797356828,3750,0.516244493392071,0.0340033039647577,7264,1,52.6666666666667,52,4,3,0.542538354253836,0.563118811881188,0.0414847161572052,0.189956331877729,0.0398924249215598,5107,2812,0.550616800469943,2157,1185,0.549374130737135,0.105059410428701,TRUE,TRUE,0.539236820346766,0.56217557055698,0.02287166121146,0.0462429991801693,TRUE
7__NQ_ES__ranger__0.1000,7,NQ_ES,ranger,,0.1,7220,3983,0.551662049861496,3798,0.526038781163435,0.0256232686980609,7220,1,52.6666666666667,52,4,3,0.551823023351086,0.554261760596181,0.036231884057971,0.164251207729469,0.0401262398557259,5664,3121,0.551024011299435,1556,862,0.553984575835476,0.102555896663083,TRUE,TRUE,0.539224743951484,0.562518014965145,0.0158965649579276,0.0363312409239914,TRUE
7__NQ_ES__xgb_d3__0.0500,7,NQ_ES,xgb_d3,3,0.05,3767,2096,0.556410937085214,1917,0.508893018316963,0.0475179187682506,3767,1,52.6666666666667,52,4,3,0.54625550660793,0.573970037453184,0.052863436123348,0.202643171806167,0.051498127340824,2612,1439,0.550918836140888,1155,657,0.568831168831169,0.0540135074036034,TRUE,TRUE,0.53897629135018,0.572060116739288,0.0308531375153597,0.0638696637534551,TRUE
7__NQ_ES__xgb_d2__0.1000,7,NQ_ES,xgb_d2,2,0.1,7293,4008,0.549568078979844,3817,0.523378582202112,0.0261894967777321,7293,1,52.6666666666667,52,3,3,0.546846846846847,0.560165975103734,0.0382882882882883,0.168918918918919,0.0394308943089431,5559,3057,0.549919050188883,1734,951,0.548442906574394,0.104766606536653,TRUE,TRUE,0.538523101400303,0.561427780852241,0.0154532582181402,0.0363627159727154,TRUE
7__NQ_ONLY__logit__0.0500,7,NQ_ONLY,logit,,0.05,3289,1825,0.55487990270599,1725,0.524475524475525,0.0304043782304652,3289,1,52.6666666666667,52,4,3,0.536992840095465,0.567332754126846,0.043956043956044,0.203296703296703,0.0847255369928401,2272,1273,0.560299295774648,1017,552,0.542772861356932,0.0463866293102137,TRUE,TRUE,0.538370795591799,0.573625998485847,0.0114159931265589,0.0508486783567352,TRUE
7__NQ_ONLY__ranger__0.1000,7,NQ_ONLY,ranger,,0.1,7457,4087,0.548075633632828,3894,0.522193911760762,0.0258817218720665,7457,1,52.6666666666667,52,4,3,0.54046881910659,0.555555555555556,0.0368663594470046,0.165898617511521,0.0393366756652526,5743,3147,0.54797144349643,1714,940,0.548424737456243,0.106221796740225,TRUE,TRUE,0.537864482389867,0.559989522469134,0.015406947668967,0.0368284176418664,TRUE
7__NQ_ONLY__xgb_d3__0.0500,7,NQ_ONLY,xgb_d3,3,0.05,3782,2096,0.554204124801692,1901,0.502644103648863,0.0515600211528292,3782,1,52.6666666666667,52,3,3,0.542709232096635,0.569526627218935,0.0558139534883721,0.195348837209302,0.0457290767903365,2581,1406,0.544750096861682,1201,690,0.574521232306411,0.0536402317276134,TRUE,TRUE,0.537826059056654,0.570094272474142,0.0334358002920788,0.0689034248053995,TRUE
7__NQ_ES__logit__0.1000,7,NQ_ES,logit,,0.1,6741,3706,0.549770063788755,3506,0.520100875241062,0.0296691885476932,6741,1,52.6666666666667,52,4,3,0.543906333155934,0.556679308891698,0.0407608695652174,0.184782608695652,0.0661609776654024,4502,2500,0.555308751665926,2239,1206,0.538633318445735,0.094834610939376,TRUE,TRUE,0.537803824043828,0.563579195223611,0.0162576937934231,0.0433971988563387,TRUE
1__NQ_ONLY__xgb_d2__0.1000,1,NQ_ONLY,xgb_d2,2,0.1,7048,3869,0.548950056753689,3414,0.484392735527809,0.0645573212258797,7048,1,52.6666666666667,52,4,3,0.538046146293569,0.554514480408859,0.0344827586206897,0.148706896551724,0.0381991814461119,4303,2315,0.537996746455961,2745,1554,0.566120218579235,0.102692750951504,TRUE,TRUE,0.537644294745327,0.560158362691779,0.0491852337415939,0.0784723993459988,TRUE
5__NQ_ONLY__ranger__0.0500,5,NQ_ONLY,ranger,,0.05,3669,2028,0.552739165985282,1901,0.518124829653857,0.0346143363314255,3669,1,52.6666666666667,52,4,3,0.519793459552496,0.578598484848485,0.0473684210526316,0.194736842105263,0.0475812846946868,2779,1527,0.549478229578985,890,501,0.562921348314607,0.0511635690599209,TRUE,TRUE,0.537578300700379,0.568820687686342,0.0183124738590947,0.0514350978922194,TRUE
7__NQ_ES__xgb_d2__0.0200,7,NQ_ES,xgb_d2,2,0.02,1440,810,0.5625,741,0.514583333333333,0.0479166666666667,1440,1,52.6666666666667,52,3,3,0.552106430155211,0.579520697167756,0.0864197530864198,0.283950617283951,0.0709534368070954,1056,586,0.554924242424242,384,224,0.583333333333333,0.0203803078611885,TRUE,TRUE,0.537491061241907,0.586501290616459,0.0237444502097771,0.0733547219099877,TRUE
5__NQ_ES__logit__0.1000,5,NQ_ES,logit,,0.1,6552,3602,0.5497557997558,3397,0.518467643467644,0.0312881562881563,6552,1,52.6666666666667,52,4,3,0.542612419700214,0.554518950437318,0.036319612590799,0.174334140435835,0.0539614561027837,4501,2487,0.552543879137969,2051,1115,0.543637250121892,0.0946303250761324,TRUE,TRUE,0.537394837657697,0.563743421265747,0.0168680004772934,0.0444765618638794,TRUE
5__NQ_ES__ranger__0.1000,5,NQ_ES,ranger,,0.1,7334,4028,0.549222797927461,3836,0.523043359694573,0.0261794382328879,7334,1,52.6666666666667,52,4,3,0.533450704225352,0.560906515580737,0.0380313199105145,0.1834451901566,0.0404694455685957,5826,3188,0.547202197047717,1508,840,0.557029177718833,0.105324577358872,TRUE,TRUE,0.536995177109922,0.5613051372417,0.0154375945309645,0.0376952471034549,TRUE
5__NQ_ES__xgb_d5__0.0200,5,NQ_ES,xgb_d5,5,0.02,1323,744,0.562358276643991,676,0.510959939531368,0.0513983371126228,1323,1,52.3333333333333,51,4,3,0.543973941368078,0.584352078239609,0.0609756097560976,0.268292682926829,0.107491856677524,846,474,0.560283687943262,477,270,0.566037735849057,0.0190325249015714,TRUE,TRUE,0.536910404167202,0.586967259151579,0.0210510534206581,0.0797642524906502,TRUE
60__NQ_ONLY__ranger__0.2000,60,NQ_ONLY,ranger,,0.2,13150,7215,0.548669201520913,7185,0.54638783269962,0.00228136882129278,4946,0.376121673003802,52.6666666666667,52,3,3,0.550354609929078,0.555097087378641,0.0401376146788991,0.186926605504587,0.0442973523421589,12970,7110,0.548188126445644,180,105,0.583333333333333,0.203982978489591,TRUE,TRUE,0.536868380736922,0.561607489660509,0.000151670948880026,0.00464013488641315,TRUE
1__NQ_ONLY__logit__0.1000,1,NQ_ONLY,logit,,0.1,6647,3646,0.548518128479013,3260,0.490446818113435,0.0580713103655785,6647,1,52.6666666666667,52,4,3,0.543215211754538,0.556696220251983,0.046242774566474,0.177263969171484,0.0704407951598963,4110,2223,0.540875912408759,2537,1423,0.560898699251084,0.100442329528176,TRUE,TRUE,0.536832435043618,0.560457977724683,0.0420179027748029,0.0745243531282558,TRUE
5__NQ_ES__xgb_d3__0.0500,5,NQ_ES,xgb_d3,3,0.05,3694,2038,0.551705468327017,1888,0.511099079588522,0.0406063887384949,3694,1,52.6666666666667,52,4,3,0.53156146179402,0.568204121687929,0.0588235294117647,0.235294117647059,0.0465666929755328,2667,1456,0.545931758530184,1027,582,0.566699123661149,0.0520811426690852,TRUE,TRUE,0.536578102471046,0.57088234104388,0.0222364103691273,0.0594716384255922,TRUE
1__NQ_ES__xgb_d3__0.1000,1,NQ_ES,xgb_d3,3,0.1,7238,3969,0.548355899419729,3527,0.487289306438243,0.0610665929814866,7238,1,52.6666666666667,52,4,3,0.548444444444444,0.552189930413426,0.0332594235033259,0.150776053215078,0.0382043935052531,4082,2226,0.5453209211171,3156,1743,0.552281368821293,0.104306022256053,TRUE,TRUE,0.536391008775683,0.559834318346355,0.0473730188133988,0.076301925885584,TRUE
7__NQ_ONLY__xgb_d2__0.0100,7,NQ_ONLY,xgb_d2,2,0.01,730,418,0.572602739726027,366,0.501369863013699,0.0712328767123288,730,1,52.3333333333333,52,4,3,0.529411764705882,0.601503759398496,0.075,0.3,0.0827067669172932,484,271,0.559917355371901,246,147,0.597560975609756,0.0102829758315764,TRUE,TRUE,0.536052214962148,0.611207598371778,0.0262002325685406,0.115340274508718,TRUE
7__NQ_ONLY__xgb_d4__0.0500,7,NQ_ONLY,xgb_d4,4,0.05,3741,2056,0.549585672280139,1860,0.4971932638332,0.0523924084469393,3741,1,52.6666666666667,52,3,3,0.539024390243903,0.565836298932384,0.0424528301886792,0.212264150943396,0.051063829787234,2531,1361,0.537732121691031,1210,695,0.574380165289256,0.053004897116268,TRUE,TRUE,0.535838148401797,0.565550826098355,0.0350108100912868,0.0692100987563984,TRUE
5__NQ_ES__logit__0.0500,5,NQ_ES,logit,,0.05,3210,1777,0.553582554517134,1658,0.516510903426791,0.0370716510903427,3210,1,52.6666666666667,52,4,3,0.536418166238218,0.567748091603053,0.0552763819095477,0.21105527638191,0.078834618680377,2171,1204,0.554583141409489,1039,573,0.551491819056785,0.0462039932266553,TRUE,TRUE,0.53549731756386,0.57284609675104,0.0206587653350834,0.0566120229268961,TRUE
5__NQ_ES__xgb_d2__0.1000,5,NQ_ES,xgb_d2,2,0.1,7211,3951,0.547912910830675,3767,0.52239633892664,0.0255165719040355,7211,1,52.6666666666667,52,4,3,0.54078947368421,0.551666666666667,0.0420353982300885,0.176991150442478,0.0403508771929825,5567,3048,0.547512125022454,1644,903,0.549270072992701,0.104114033844522,TRUE,TRUE,0.535404957216828,0.560719603385733,0.0140523590724052,0.0362436509044469,TRUE
7__NQ_ONLY__xgb_d2__0.0200,7,NQ_ONLY,xgb_d2,2,0.02,1535,858,0.558957654723127,778,0.506840390879479,0.0521172638436482,1535,1,52.6666666666667,52,3,3,0.543967280163599,0.583333333333333,0.072289156626506,0.253012048192771,0.0659133709981168,1104,606,0.548913043478261,431,252,0.584686774941995,0.0215733165148556,TRUE,TRUE,0.534753130249554,0.583281082529475,0.0270439950575173,0.0757889873522113,TRUE
7__NQ_ONLY__xgb_d2__0.1000,7,NQ_ONLY,xgb_d2,2,0.1,7348,4015,0.546407185628743,3844,0.523135547087643,0.0232716385410996,7348,1,52.6666666666667,52,3,3,0.54590237348858,0.551937984496124,0.0351288056206089,0.159250585480094,0.0395348837209302,5579,3057,0.547947660871124,1769,958,0.541548897682306,0.104639381709869,TRUE,TRUE,0.534638644828381,0.558463333558483,0.0122845269856218,0.034658261133791,TRUE
60__NQ_ES__xgb_d3__0.2000,60,NQ_ES,xgb_d3,3,0.2,13039,7132,0.54697446123169,7077,0.542756346345579,0.0042181148861109,5284,0.405245801058363,52.6666666666667,52,4,3,0.540598290598291,0.553832321870083,0.0615989515072084,0.231979030144168,0.0597510373443983,12659,6915,0.546251678647603,380,217,0.571052631578947,0.197340879682965,TRUE,TRUE,0.534510816589167,0.560797212172882,0.00105738894922904,0.00784291650678388,TRUE
1__NQ_ES__xgb_d2__0.0200,1,NQ_ES,xgb_d2,2,0.02,1415,792,0.559717314487633,690,0.487632508833922,0.0720848056537102,1415,1,52.6666666666667,52,4,3,0.536407766990291,0.591194968553459,0.0555555555555556,0.255555555555556,0.0649895178197065,655,375,0.572519083969466,760,417,0.548684210526316,0.0204738841888016,TRUE,TRUE,0.534370108983858,0.585471614349671,0.0375971571693279,0.105526157003682,TRUE
7__NQ_ES__xgb_d3__0.0200,7,NQ_ES,xgb_d3,3,0.02,1538,861,0.559817945383615,771,0.501300390117035,0.05851755526658,1538,1,52.6666666666667,52,3,3,0.546906187624751,0.584821428571429,0.0909090909090909,0.337662337662338,0.0714285714285714,1018,560,0.550098231827112,520,301,0.578846153846154,0.0213331644571651,TRUE,TRUE,0.53423708209983,0.583053292686319,0.0325618837155027,0.0839962422037972,TRUE
1__NQ_ONLY__xgb_d2__0.2000,1,NQ_ONLY,xgb_d2,2,0.2,14054,7619,0.542123238935534,6819,0.485199943076704,0.0569232958588302,14054,1,52.6666666666667,52,4,3,0.533678756476684,0.548614166300044,0.0263157894736842,0.126315789473684,0.0313235986811116,8679,4629,0.533356377462841,5375,2990,0.556279069767442,0.205855535534773,TRUE,TRUE,0.533911919383072,0.550025041306714,0.0465911218748103,0.0671070845531186,TRUE
5__NQ_ONLY__xgb_d3__0.0200,5,NQ_ONLY,xgb_d3,3,0.02,1468,821,0.559264305177112,732,0.498637602179837,0.0606267029972752,1468,1,52.6666666666667,52,4,3,0.522727272727273,0.59746835443038,0.0602409638554217,0.265060240963855,0.0711462450592885,982,537,0.546843177189409,486,284,0.584362139917696,0.0207836077921995,TRUE,TRUE,0.533686818880571,0.584124992807385,0.0342678052333858,0.089183469565414,TRUE
