feature_set,feature
NQ_RICH,nq_ema20_60_spread
NQ_RICH,nq_adx14
NQ_RICH,nq_di_spread14
NQ_RICH,nq_donchian20_pos
NQ_RICH,nq_breakout20_up
NQ_RICH,nq_breakout20_down
NQ_RICH,nq_vol_rel15
NQ_RICH,nq_vol_rel60
NQ_RICH,asia_session
NQ_RICH,london_session
NQ_RICH,us_rth_session
NQ_RICH,london_us_overlap
NQ_RICH,us_last60
NQ_RICH,us_last30
NQ_RICH,minutes_to_us_close
NQ_RICH,last_rth_known
NQ_RICH,rth_gap_known
NQ_RICH,opening30_known
NQ_RICH,nq_rth_to_now
NQ_RICH,nq_rth_vwap_dist
NQ_RICH,nq_rth_position
NQ_RICH,nq_last_rth_ret
NQ_RICH,nq_last_rth_range
NQ_RICH,nq_rth_gap
NQ_RICH,nq_open30_ret
NQ_RICH,nq_open30_green
NQ_RICH,nq_open30_range
NQ_RICH,nq_open30_vol_rel20
NQ_RICH,nq_prevclose_to_1000
NQ_ES_RICH,nq_bar_ret
NQ_ES_RICH,nq_range
NQ_ES_RICH,nq_close_loc
NQ_ES_RICH,nq_ret1
NQ_ES_RICH,nq_ret2
NQ_ES_RICH,nq_ret5
NQ_ES_RICH,nq_ret15
NQ_ES_RICH,nq_ret30
NQ_ES_RICH,nq_ret60
NQ_ES_RICH,nq_rv5
NQ_ES_RICH,nq_rv15
NQ_ES_RICH,nq_rv60
NQ_ES_RICH,nq_rs15
NQ_ES_RICH,nq_rs60
NQ_ES_RICH,nq_rv5_over_60
NQ_ES_RICH,nq_rs15_over_60
NQ_ES_RICH,tod_sin
NQ_ES_RICH,tod_cos
NQ_ES_RICH,dow_2
NQ_ES_RICH,dow_3
NQ_ES_RICH,dow_4
NQ_ES_RICH,dow_5
NQ_ES_RICH,dow_7
NQ_ES_RICH,season_spring
NQ_ES_RICH,season_summer
NQ_ES_RICH,season_autumn
NQ_ES_RICH,nq_rsi14
NQ_ES_RICH,nq_macd
NQ_ES_RICH,nq_macd_signal
NQ_ES_RICH,nq_macd_hist
NQ_ES_RICH,nq_bb_pctB
NQ_ES_RICH,nq_bb_width
NQ_ES_RICH,nq_vwap20_dist
NQ_ES_RICH,nq_ema20_dist
NQ_ES_RICH,nq_ema60_dist
NQ_ES_RICH,nq_ema20_60_spread
NQ_ES_RICH,nq_adx14
NQ_ES_RICH,nq_di_spread14
NQ_ES_RICH,nq_donchian20_pos
NQ_ES_RICH,nq_breakout20_up
NQ_ES_RICH,nq_breakout20_down
NQ_ES_RICH,nq_vol_rel15
NQ_ES_RICH,nq_vol_rel60
NQ_ES_RICH,asia_session
NQ_ES_RICH,london_session
NQ_ES_RICH,us_rth_session
NQ_ES_RICH,london_us_overlap
NQ_ES_RICH,us_last60
NQ_ES_RICH,us_last30
NQ_ES_RICH,minutes_to_us_close
NQ_ES_RICH,last_rth_known
NQ_ES_RICH,rth_gap_known
NQ_ES_RICH,opening30_known
NQ_ES_RICH,nq_rth_to_now
NQ_ES_RICH,nq_rth_vwap_dist
NQ_ES_RICH,nq_rth_position
NQ_ES_RICH,nq_last_rth_ret
NQ_ES_RICH,nq_last_rth_range
NQ_ES_RICH,nq_rth_gap
NQ_ES_RICH,nq_open30_ret
NQ_ES_RICH,nq_open30_green
NQ_ES_RICH,nq_open30_range
NQ_ES_RICH,nq_open30_vol_rel20
NQ_ES_RICH,nq_prevclose_to_1000
