horizon,feature_set,model_id,xgb_depth,target_coverage,confidence_cutoff,selected_n,coverage,wins,win_rate,ci95_lower,ci95_upper,flat_rate,baseline_wr,edge,active_weeks
60,NQ_ONLY,logit,,0.005,0.097677170094431,101,0.00503891438834564,69,0.683168316831683,0.583080378531479,0.772186789535728,0,0.643564356435644,0.0396039603960396,22
7,NQ_ONLY,xgb_d2,2,0.01,0.0791248917579652,215,0.0100181724989516,139,0.646511627906977,0.578605546100829,0.710314619633893,0.013953488372093,0.595348837209302,0.0511627906976744,50
1,NQ_ES,ranger,,0.05,0.0717811933882917,1076,0.050020919529543,637,0.592007434944238,0.561958974509463,0.62155129256645,0.0353159851301115,0.45724907063197,0.134758364312268,53
60,NQ_ONLY,ranger,,0.01,0.0800352371070741,201,0.0100279385352225,127,0.631840796019901,0.561120548280015,0.698609155900664,0.00497512437810945,0.626865671641791,0.00497512437810943,29
7,NQ_ES,ranger,,0.01,0.0797088097076557,215,0.0100181724989516,135,0.627906976744186,0.559560833930992,0.692672779277266,0.0186046511627907,0.572093023255814,0.0558139534883722,53
60,NQ_ES,ranger,,0.05,0.0565909228489498,1003,0.050039912193175,591,0.589232303090728,0.558062025810363,0.619877263238448,0.00498504486540379,0.586241276171486,0.00299102691924225,50
30,NQ_ONLY,xgb_d2,2,0.05,0.0531417042016983,1038,0.05,609,0.586705202312139,0.556056257434688,0.616861078949349,0.00481695568400771,0.581888246628131,0.00481695568400775,53
30,NQ_ONLY,xgb_d2,2,0.02,0.0588485765457153,416,0.0200385356454721,251,0.603365384615385,0.554554800961274,0.65069473688997,0.00240384615384615,0.598557692307692,0.00480769230769229,51
7,NQ_ONLY,xgb_d2,2,0.02,0.0716947793960571,430,0.0200363449979032,258,0.6,0.551975247960078,0.646639030626109,0.013953488372093,0.569767441860465,0.0302325581395349,53
7,NQ_ES,xgb_d3,3,0.02,0.0825974106788635,430,0.0200363449979032,258,0.6,0.551975247960078,0.646639030626109,0.0232558139534884,0.532558139534884,0.0674418604651162,53
3,NQ_ONLY,xgb_d5,5,0.1,0.0725696802139282,2150,0.100027914766912,1228,0.571162790697674,0.54992536905886,0.592205935899313,0.0241860465116279,0.471162790697674,0.1,53
5,NQ_ONLY,logit,,0.1,0.0575847661965907,2148,0.1,1226,0.570763500931099,0.549514179203347,0.591819455568211,0.0111731843575419,0.533519553072626,0.0372439478584731,53
3,NQ_ONLY,xgb_d5,5,0.05,0.0882253795862197,1075,0.0500139573834559,623,0.57953488372093,0.549376870051614,0.609256328115963,0.0204651162790698,0.484651162790698,0.0948837209302325,53
3,NQ_ES,xgb_d5,5,0.05,0.0878494173288345,1075,0.0500139573834559,623,0.57953488372093,0.549376870051614,0.609256328115963,0.0241860465116279,0.457674418604651,0.121860465116279,53
5,NQ_ONLY,logit,,0.05,0.0678177018036134,1074,0.05,622,0.579143389199255,0.54896837289982,0.608883578248617,0.0148975791433892,0.542830540037244,0.0363128491620112,53
7,NQ_ES,ranger,,0.05,0.0636756413803926,1074,0.0500442663436,622,0.579143389199255,0.54896837289982,0.608883578248617,0.0139664804469274,0.534450651769088,0.0446927374301676,53
3,NQ_ONLY,xgb_d3,3,0.1,0.0643661916255951,2150,0.100027914766912,1225,0.569767441860465,0.548523539278968,0.590820878443134,0.0213953488372093,0.486511627906977,0.0832558139534884,53
3,NQ_ONLY,logit,,0.05,0.0765305486298167,1075,0.0500139573834559,622,0.578604651162791,0.548440306871578,0.608337534869343,0.012093023255814,0.511627906976744,0.0669767441860465,53
3,NQ_ES,xgb_d3,3,0.05,0.0785394325852394,1075,0.0500139573834559,622,0.578604651162791,0.548440306871578,0.608337534869343,0.026046511627907,0.464186046511628,0.114418604651163,53
1,NQ_ONLY,ranger,,0.1,0.0645429975581382,2152,0.100041839059086,1225,0.569237918215613,0.548001616870706,0.59028537638578,0.0394981412639405,0.475371747211896,0.0938661710037175,53
3,NQ_ONLY,xgb_d4,4,0.1,0.0681100934743881,2150,0.100027914766912,1223,0.568837209302326,0.547589080155421,0.589897412705664,0.0209302325581395,0.482325581395349,0.0865116279069768,53
7,NQ_ONLY,xgb_d4,4,0.05,0.0742582678794861,1074,0.0500442663436,620,0.577281191806331,0.54709369676444,0.607044095923771,0.015828677839851,0.53072625698324,0.0465549348230911,53
5,NQ_ONLY,xgb_d4,4,0.1,0.0592489302158356,2148,0.1,1219,0.567504655493482,0.546240569818743,0.588584281572518,0.0172253258845438,0.514897579143389,0.0526070763500931,53
3,NQ_ES,ranger,,0.01,0.0875721469841412,215,0.0100027914766912,132,0.613953488372093,0.545343642936664,0.679374563703123,0.0186046511627907,0.390697674418605,0.223255813953488,52
7,NQ_ONLY,ranger,,0.01,0.0838751150200524,215,0.0100181724989516,132,0.613953488372093,0.545343642936664,0.679374563703123,0.00930232558139535,0.525581395348837,0.0883720930232559,52
